"","Id","molecule","Molecule_type","Organism_Name","Species","Genus","Family","Length"
"2464","NC_055461.1","RNA","ssRNA(-)","Sawgrass virus","Sawgrhavirus sawgrass","Sawgrhavirus","Rhabdoviridae",11216
"2465","NC_040383.1","DNA","ssDNA(+/-)","Molossus molossus circovirus 1","Molossus molossus circovirus 1","Circovirus","Circoviridae",1587
"2466","NC_077914.1","RNA","ssRNA(-)","Matruh virus","Orthobunyavirus matruhense","Orthobunyavirus","Peribunyaviridae",897
"2467","NC_076102.1","DNA","dsDNA","Diachasmimorpha longicaudata entomopoxvirus","Diachasmimorpha entomopoxvirus","Unknown","Poxviridae",252940
"2468","NC_054455.1","DNA","dsDNA","Mycobacterium phage Tapioca","Charlievirus Tapioca","Charlievirus","Unknown",44205
"2469","NC_033755.1","RNA","RNA","Xingshan nematode virus 5","Xingshan nematode virus 5","Unknown","Unknown",1446
"2470","NC_043660.1","RNA","dsRNA","Brassica campestris chrysovirus 1","Alphachrysovirus brassicae","Alphachrysovirus","Chrysoviridae",3639
"2471","NC_042022.1","DNA","dsDNA","Enterococcus phage phiSHEF4","Efquatrovirus SHEF4","Efquatrovirus","Unknown",41081
"2472","NC_078930.1","RNA","ssRNA(-)","Las Maloyas virus","Orthobunyavirus horizonteense","Orthobunyavirus","Peribunyaviridae",1002
"2473","NC_032628.1","RNA","RNA","Beihai picorna-like virus 99","Beihai picorna-like virus 99","Unknown","Unknown",6503
"2474","NC_048010.1","DNA","dsDNA","Salmonella phage S132","Epseptimavirus S132","Epseptimavirus","Demerecviridae",116832
"2475","NC_075332.1","DNA","ssDNA","Giant panda associated gemycircularvirus","Giant panda associated gemycircularvirus","Gemycircularvirus","Genomoviridae",2161
"2476","NC_049512.1","DNA","dsDNA","Salmonella phage SE14","Kuttervirus SE14","Kuttervirus","Ackermannviridae",152926
"2477","NC_038504.1","RNA","ssRNA(+)","Hepatitis E virus rat/R63/DEU/2009","Rocahepevirus ratti","Rocahepevirus","Hepeviridae",6965
"2478","NC_007035.1","DNA","dsDNA","Bracoviriform demolitoris","Bracoviriform demolitoris","Bracoviriform","Polydnaviriformidae",11238
"2479","NC_055064.1","DNA","dsDNA","Vibrio phage 1.008.O._10N.286.54.E5","Paulavirus viph1008o","Paulavirus","Autolykiviridae",10579
"2480","NC_027296.1","DNA","dsDNA","Rhizobium phage RHEph06","Kleczkowskavirus RHEph4","Kleczkowskavirus","Unknown",53721
"2481","NC_042078.1","DNA","dsDNA","Shigella phage Sf24","Tequatrovirus sf24","Tequatrovirus","Straboviridae",168112
"2482","NC_041992.1","DNA","dsDNA","Salmonella phage wksl3","Jerseyvirus wksl3","Jerseyvirus","Unknown",42633
"2483","NC_003812.1","DNA","ssDNA(+)","Subterranean clover stunt virus","Subterranean clover stunt virus","Nanovirus","Nanoviridae",1005
"2484","NC_049416.1","DNA","dsDNA","Lactococcus phage LP8511","Skunavirus LP8511","Skunavirus","Unknown",29953
"2485","NC_042073.1","RNA","dsRNA","Pseudomonas phage phiYY","Cystovirus phiYY","Cystovirus","Cystoviridae",3004
"2486","NC_041909.1","DNA","dsDNA","Paenibacillus phage Shelly","Fernvirus shelly","Fernvirus","Unknown",41152
"2487","NC_032943.1","RNA","RNA","Wenzhou picorna-like virus 25","Wenzhou picorna-like virus 25","Unknown","Unknown",8464
"2488","NC_022090.1","DNA","dsDNA","Staphylococcus phage vB_SauM_Remus","Silviavirus remus","Silviavirus","Herelleviridae",134643
"2489","NC_055743.1","DNA","dsDNA","Erwinia phage Cronus","Roskildevirus cronus","Roskildevirus","Straboviridae",175774
"2490","NC_005636.1","DNA","ssDNA(+/-)","Horsegram yellow mosaic virus","Horsegram yellow mosaic virus","Begomovirus","Geminiviridae",2677
"2491","NC_034568.1","RNA","ssRNA(+)","Picorna-like virus AWando15","Picorna-like virus AWando15","Unknown","Unknown",8019
"2492","NC_018105.1","DNA","dsDNA-RT","Gooseberry vein banding associated virus","Badnavirus venaribis","Badnavirus","Caulimoviridae",7659
"2493","NC_054663.1","DNA","dsDNA","Streptomyces phage Diane","Omarvirus diane","Omarvirus","Unknown",50483
"2494","NC_076900.1","RNA","ssRNA(+)","Fusarium verticillioides mitovirus 1","Unuamitovirus fuve1","Unuamitovirus","Mitoviridae",2471
"2495","NC_003698.1","RNA","dsRNA","Eyach virus","Eyach coltivirus","Coltivirus","Spinareoviridae",3585
"2496","NC_003398.1","RNA","ssRNA(+)","Sugarcane mosaic virus","Sugarcane mosaic virus","Potyvirus","Potyviridae",9596
"2497","NC_028698.1","DNA","dsDNA","Salmonella phage f18SE","Jerseyvirus f18SE","Jerseyvirus","Unknown",41868
"2498","NC_026439.1","RNA","ssRNA(+)","African pouched rat arterivirus","Lambdaarterivirus afriporav","Lambdaarterivirus","Arteriviridae",14953
"2499","NC_073794.1","RNA","RNA","ssRNA phage Zoerhiza.1_9","Isoihlovirus terrihabitans","Isoihlovirus","Atkinsviridae",4075
"2500","NC_009556.1","DNA","ssDNA","Mimosa yellow leaf curl virus satellite DNA beta","Mimosa yellow leaf curl virus satellite DNA beta","Betasatellite","Tolecusatellitidae",1358
"2501","NC_053209.1","DNA","dsDNA","Mycobacterium phage KilKor","Fishburnevirus kilkor","Fishburnevirus","Unknown",48916
"2502","NC_043687.1","RNA","ssRNA(-)","Zegla virus","Orthobunyavirus patoisense","Orthobunyavirus","Peribunyaviridae",6925
"2503","NC_073464.1","DNA","dsDNA","Mycobacterium phage LilSpotty","Mycobacterium phage LilSpotty","Unknown","Unknown",49798
"2504","NC_074467.1","RNA","RNA","ssRNA phage Gerhypos.4_12","Pujohnavirus chthonovicinum","Pujohnavirus","Steitzviridae",4188
"2505","NC_022103.1","RNA","ssRNA(+)","Bat coronavirus CDPHE15/USA/2006","Bat coronavirus CDPHE15","Alphacoronavirus","Coronaviridae",28035
"2506","NC_043570.1","RNA","ssRNA(-)","Sororoca virus","Orthobunyavirus sororocaense","Orthobunyavirus","Peribunyaviridae",6893
"2507","NC_074121.1","RNA","ssRNA(+)","ssRNA phage SRR7976310_12","Tohvovirus borborohabitans","Tohvovirus","Fiersviridae",3420
"2508","NC_074400.1","RNA","RNA","ssRNA phage Gephyllon.2_3","Kehruavirus humihabitans","Kehruavirus","Steitzviridae",3815
"2509","NC_003027.1","DNA","dsDNA","Lumpy skin disease virus NI-2490","Lumpy skin disease virus","Capripoxvirus","Poxviridae",150773
"2510","NC_049850.1","DNA","dsDNA","Burkholderia phage BcepSaruman","Sarumanvirus bcepsaruman","Sarumanvirus","Unknown",263735
"2511","NC_027786.1","DNA","ssDNA(+/-)","Palaemonetes intermedius brackish grass shrimp associated circular virus","Palaemonetes intermedius brackish grass shrimp associated circular virus","Unknown","Circoviridae",2293
"2512","NC_021148.1","RNA","dsRNA","Dill cryptic virus 2","Dill cryptic virus 2","Betapartitivirus","Partitiviridae",2354
"2513","NC_001728.1","RNA","ssRNA(+)","Odontoglossum ringspot virus","Odontoglossum ringspot virus","Tobamovirus","Virgaviridae",6618
"2514","NC_038961.1","RNA","ssRNA(+)","Shanbavirus A","Shanbavirus A","Shanbavirus","Picornaviridae",7264
"2515","NC_028815.1","DNA","dsDNA","Mycobacterium phage Nhonho","Mycobacterium phage Nhonho","Fromanvirus","Unknown",51355
"2516","NC_001918.1","RNA","ssRNA(+)","Aichi virus 1","Aichivirus A","Kobuvirus","Picornaviridae",8251
"2517","NC_011048.1","DNA","dsDNA","Bacillus phage phi29","Salasvirus phi29","Salasvirus","Salasmaviridae",19282
"2518","NC_074071.1","RNA","ssRNA(+)","ssRNA phage AIN000","Poncivirus insecticola","Poncivirus","Fiersviridae",3675
"2519","NC_021327.1","DNA","dsDNA","Halovirus HCTV-5","Halovirus HCTV-5","Tredecimvirus","Druskaviridae",102105
"2520","NC_004680.2","DNA","dsDNA","Mycobacterium phage Che8","Mycobacterium virus Che8","Cheoctovirus","Unknown",59472
"2521","NC_055525.1","DNA","ssDNA(+/-)","Melon yellow mosaic virus","Melon yellow mosaic virus","Begomovirus","Geminiviridae",2736
"2522","NC_042093.1","DNA","dsDNA","Klebsiella phage Sugarland","Sugarlandvirus sugarland","Sugarlandvirus","Demerecviridae",111103
"2523","NC_023861.2","RNA","ssRNA(+)","Sicinivirus A","Sicinivirus A","Sicinivirus","Picornaviridae",9798
"2524","NC_015254.1","DNA","dsDNA","Brochothrix phage BL3","Brochothrix phage BL3","Unknown","Unknown",41518
"2525","NC_055750.1","DNA","dsDNA","Mycobacterium phage KingTut","Pegunavirus kingtut","Pegunavirus","Unknown",64827
"2526","NC_015251.1","DNA","dsDNA","Aeromonas phage 65","Ishigurovirus osborne","Ishigurovirus","Straboviridae",235229
"2527","NC_022769.1","DNA","dsDNA","Bacillus phage BigBertha","Bequatrovirus bigbertha","Bequatrovirus","Herelleviridae",165238
"2528","NC_070656.1","DNA","dsDNA","Streptococcus phage CHPC1005","Streptococcus phage CHPC1005","Moineauvirus","Aliceevansviridae",37598
"2529","NC_009354.1","DNA","ssDNA(+/-)","Sida yellow vein Madurai virus","Sida yellow vein Madurai virus","Begomovirus","Geminiviridae",2753
"2530","NC_074185.1","RNA","RNA","ssRNA phage SRR6960799_2","Kahraivirus borboradaptatum","Kahraivirus","Blumeviridae",4334
"2531","NC_055319.1","RNA","ssRNA(+/-)","Gabek Forest virus","Phlebovirus gabekense","Phlebovirus","Phenuiviridae",6436
"2532","NC_076455.1","RNA","ssRNA(-)","Plasmopara viticola lesion associated mononegaambi virus 5","Penicillimonavirus deltaplasmoparae","Penicillimonavirus","Mymonaviridae",6265
"2533","NC_032782.1","RNA","RNA","Hubei tombus-like virus 7","Hubei tombus-like virus 7","Unknown","Unknown",5082
"2534","NC_014357.1","DNA","ssDNA(+/-)","Fenneropenaeus chinensis hepandensovirus","Hepanhamaparvovirus decapod1","Hepanhamaparvovirus","Parvoviridae",6085
"2535","NC_040770.1","RNA","ssRNA(-)","Tunis virus","Orthonairovirus tunisense","Orthonairovirus","Nairoviridae",12303
"2536","NC_021301.1","DNA","dsDNA","Mycobacterium phage SiSi","Cheoctovirus sisi","Cheoctovirus","Unknown",56279
"2537","NC_043588.1","RNA","ssRNA(-)","Ingwavuma virus","Orthobunyavirus ingwavumaense","Orthobunyavirus","Peribunyaviridae",6922
"2538","NC_033120.1","RNA","RNA","Wenzhou sobemo-like virus 2","Wenzhou sobemo-like virus 2","Unknown","Unknown",2748
"2539","NC_049499.1","DNA","dsDNA","Salmonella phage rabagast","Kuttervirus rabagast","Kuttervirus","Ackermannviridae",143249
"2540","NC_034539.1","RNA","ssRNA(-)","Nkolbisson virus","Ledantevirus nkolbisson","Ledantevirus","Rhabdoviridae",10968
"2541","NC_074352.1","RNA","RNA","ssRNA phage Zoerhiza.4_11","Gulmivirus arvivicinum","Gulmivirus","Steitzviridae",3818
"2542","NC_038671.1","RNA","ssRNA(+)","Everglades virus","Everglades virus","Alphavirus","Togaviridae",11395
"2543","NC_005224.1","RNA","ssRNA(-)","Orthohantavirus puumalaense","Orthohantavirus puumalaense","Orthohantavirus","Hantaviridae",1830
"2544","NC_042321.1","DNA","dsDNA","Mycobacterium phage Lesedi","Fromanvirus lesedi","Fromanvirus","Unknown",50486
"2545","NC_025486.1","RNA","dsRNA","Fako virus","Fako virus","Dinovernavirus","Spinareoviridae",3752
"2546","NC_030478.1","DNA","ssDNA(+/-)","Circovirus-like genome DCCV-6","Circovirus-like genome DCCV-6","Unknown","Circoviridae",2522
"2547","NC_032492.1","RNA","ssRNA(+)","Beihai Nido-like virus 2","Charybnivirus 1","Charybnivirus","Euroniviridae",24648
"2548","NC_074491.1","RNA","RNA","ssRNA phage Gerhypos.1_24","Stehnavirus chorenecus","Stehnavirus","Steitzviridae",3838
"2549","NC_006000.1","RNA","dsRNA","St Croix River virus","St Croix River virus","Orbivirus","Sedoreoviridae",2017
"2550","NC_055200.1","RNA","ssRNA(-)","Anadyr virus","Orthobunyavirus anadyrense","Orthobunyavirus","Peribunyaviridae",4440
"2551","NC_078370.1","RNA","ssRNA(-)","Perilla mosaic virus","Emaravirus perillae","Emaravirus","Fimoviridae",1097
"2552","NC_032162.1","RNA","RNA","Hubei insect virus 2","Hubei insect virus 2","Unknown","Unknown",3744
"2553","NC_005093.1","RNA","ssRNA(-)","Novirhabdovirus hirame","Novirhabdovirus hirame","Novirhabdovirus","Rhabdoviridae",11034
"2554","NC_043518.1","RNA","ssRNA(+)","Marine RNA virus SF-2","Sanfarnavirus 2","Locarnavirus","Marnaviridae",9321
"2555","NC_024785.1","DNA","dsDNA","Acinetobacter phage YMC-13-01-C62","Obolenskvirus AbC62","Obolenskvirus","Unknown",44844
"2556","NC_005354.1","DNA","dsDNA","Lactobacillus prophage Lj928","Lactobacillus prophage Lj928","Unknown","Unknown",38384
"2557","NC_008952.1","DNA","dsDNA","Ichnoviriform fugitivi","Ichnoviriform fugitivi","Ichnoviriform","Polydnaviriformidae",4063
"2558","NC_076552.1","RNA","RNA","Aspergillus foetidus slow virus 2","Alphayadokarivirus nibani","Alphayadokarivirus","Yadokariviridae",3634
"2559","NC_038563.1","RNA","ssRNA(+)","Sweet potato mild speckling virus","Sweet potato mild speckling virus","Potyvirus","Potyviridae",1103
"2560","NC_073673.1","DNA","dsDNA","Pseudomonas phage vB_PaeP_E220","Pseudomonas phage vB_PaeP_E220","Hollowayvirus","Unknown",62874
"2561","NC_038471.1","DNA","ssDNA(+/-)","Tomato leaf curl New Delhi virus 4","Tomato leaf curl New Delhi virus 4","Begomovirus","Geminiviridae",2739
"2562","NC_078642.1","RNA","ssRNA(-)","Tjuloc virus","Quaranjavirus tyulekense","Quaranjavirus","Orthomyxoviridae",512
"2563","NC_016032.1","DNA","ssDNA(+/-)","Porcine bocavirus 4-1","Bocaparvovirus ungulate5","Bocaparvovirus","Parvoviridae",5177
"2564","NC_030123.1","DNA","ssDNA","Bovine faeces associated smacovirus 3","Bovismacovirus bovas2","Bovismacovirus","Smacoviridae",2623
"2565","NC_055344.1","RNA","ssRNA(+/-)","Maldonado virus","Phlebovirus maldonadoense","Phlebovirus","Phenuiviridae",6305
"2566","NC_078561.1","RNA","ssRNA(-)","Khurdun virus","Khurdivirus volgaense","Khurdivirus","Peribunyaviridae",6574
"2567","NC_038513.1","RNA","ssRNA(-)","Laibin virus","Mobatvirus laibinense","Mobatvirus","Hantaviridae",3908
"2568","NC_042140.1","DNA","dsDNA","Bacillus phage BM15","Caeruleovirus BM15","Caeruleovirus","Herelleviridae",165213
"2569","NC_025395.1","RNA","ssRNA(-)","Puerto Almendras virus","Almendravirus almendras","Almendravirus","Rhabdoviridae",11876
"2570","NC_077760.1","RNA","dsRNA","Avian orthoreovirus","Avian orthoreovirus","Orthoreovirus","Spinareoviridae",1205
"2571","NC_009563.1","DNA","ssDNA","Sida yellow vein Vietnam alphasatellite","Sida yellow vein Vietnam alphasatellite","Colecusatellite","Alphasatellitidae",1372
"2572","NC_033426.1","RNA","RNA","Wenzhou tombus-like virus 16","Wenzhou tombus-like virus 16","Unknown","Unknown",4467
"2573","NC_026263.1","DNA","ssDNA","Sewage-associated circular DNA virus-20","Sewage-associated circular DNA virus-20","Unknown","Unknown",2089
"2574","NC_017732.1","DNA","dsDNA","Enterococcus phage EF62phi","Enterococcus phage EF62phi","Unknown","Unknown",30505
"2575","NC_055714.1","DNA","dsDNA","Mycobacterium phage Fortunato","Coopervirus fortunato","Coopervirus","Unknown",70679
"2576","NC_003444.1","DNA","dsDNA","Enterobacteria phage SfV","Enterobacteria phage SfV","Unknown","Unknown",37074
"2577","NC_070707.1","DNA","dsDNA","Streptococcus phage P7633","Streptococcus phage P7633","Moineauvirus","Aliceevansviridae",35921
"2578","NC_042027.1","DNA","dsDNA","Mycobacterium phage Pumpkin","Kostyavirus pumpkin","Kostyavirus","Unknown",74491
"2579","NC_028495.1","RNA","dsRNA","Penicillium janczewskii chrysovirus 1","Betachrysovirus pripenicillii","Betachrysovirus","Chrysoviridae",3698
"2580","NC_023305.1","DNA","ssDNA(+)","Black medic leaf roll virus","Black medic leaf roll virus","Nanovirus","Nanoviridae",1010
"2581","NC_031041.1","DNA","dsDNA","Mycobacterium phage Papez","Mycobacterium phage Papez","Fromanvirus","Unknown",52501
"2582","NC_043605.1","RNA","ssRNA(-)","Rio Preto da Eva virus","Pacuvirus evaense","Pacuvirus","Peribunyaviridae",6812
"2583","NC_015326.1","DNA","dsDNA","Lausannevirus","Lausannevirus","Unknown","Marseilleviridae",346754
"2584","NC_031085.1","DNA","dsDNA","Shigella phage SHBML-50-1","Tequatrovirus SHBML501","Tequatrovirus","Straboviridae",166634
"2585","NC_008717.1","DNA","dsDNA","Pseudomonas phage DMS3","Casadabanvirus DMS3","Casadabanvirus","Unknown",36415
"2586","NC_035136.1","DNA","ssDNA(-)","Torque teno Leptonychotes weddellii virus 1","Lambdatorquevirus phoci5","Lambdatorquevirus","Anelloviridae",2119
"2587","NC_078769.1","RNA","ssRNA(-)","Sinu virus","Thogotovirus sinuense","Thogotovirus","Orthomyxoviridae",1561
"2588","NC_008719.1","RNA","ssRNA(+)","Sepik virus","Orthoflavivirus sepikense","Orthoflavivirus","Flaviviridae",10793
"2589","NC_034377.1","RNA","ssRNA(+)","Watermelon virus A","Watermelon virus A","Wamavirus","Betaflexiviridae",8372
"2590","NC_029114.1","DNA","DNA","Ctenophore-associated circular genome 3","Ctenophore-associated circular genome 3","Unknown","Unknown",1223
"2591","NC_026598.1","DNA","dsDNA","Mycobacterium phage Milly","Mycobacterium phage Milly","Timquatrovirus","Unknown",58211
"2592","NC_019489.1","DNA","dsDNA","Lactobacillus phage Sha1","Lactobacillus phage Sha1","Unknown","Unknown",41726
"2593","NC_070698.1","DNA","dsDNA","Streptococcus phage P7151","Streptococcus phage P7151","Moineauvirus","Aliceevansviridae",35025
"2594","NC_027381.1","DNA","dsDNA","Escherichia phage Pollock","Pollockvirus pollock","Pollockvirus","Schitoviridae",68365
"2595","NC_032278.1","RNA","ssRNA(-)","Hubei diptera virus 4","Hudivirus muscae","Hudivirus","Phenuiviridae",4186
"2596","NC_003694.1","RNA","ssRNA(+)","Beet ringspot virus","Nepovirus betae","Nepovirus","Secoviridae",4662
"2597","NC_003897.1","DNA","ssDNA(+/-)","Tomato leaf curl Karnataka virus","Tomato leaf curl Karnataka virus","Begomovirus","Geminiviridae",2759
"2598","NC_014713.1","RNA","dsRNA","Southern rice black-streaked dwarf virus","Southern rice black-streaked dwarf virus","Fijivirus","Spinareoviridae",1798
"2599","NC_031503.1","DNA","dsDNA","Pigeon adenovirus 2","Pigeon aviadenovirus B","Aviadenovirus","Adenoviridae",41981
"2600","NC_055044.1","DNA","dsDNA","Staphylococcus phage SAP11","Triavirus SAP11","Triavirus","Unknown",45346
"2601","NC_030399.1","RNA","ssRNA(+)","Cronartium ribicola mitovirus 5","Unuamitovirus crri5","Unuamitovirus","Mitoviridae",2631
"2602","NC_001466.1","DNA","ssDNA(+/-)","Chloris striate mosaic virus","Chloris striate mosaic virus","Mastrevirus","Geminiviridae",2750
"2603","NC_040364.1","DNA","ssDNA","Spider associated circular virus 3","Spider associated circular virus 3","Unknown","Unknown",1889
"2604","NC_043072.1","RNA","ssRNA(+)","Bat picornavirus BatPV/V1/13 Hun","Mischivirus B","Mischivirus","Picornaviridae",6855
"2605","NC_027128.1","RNA","ssRNA(+)","La Jolla virus","La Jolla virus","Unknown","Iflaviridae",9786
"2606","NC_055242.1","RNA","dsRNA","Kundal virus","Kundal coltivirus","Coltivirus","Spinareoviridae",2029
"2607","NC_079141.1","DNA","dsDNA","Gordonia phage Gibbous","Gordonia phage Gibbous","Emalynvirus","Unknown",45810
"2608","NC_053236.1","DNA","dsDNA","Gordonia phage YorkOnyx","Kroosvirus yorkonyx","Kroosvirus","Unknown",57430
"2609","NC_076282.1","DNA","ssDNA","Plant associated genomovirus 24","Gemykroznavirus poaspe1","Gemykroznavirus","Genomoviridae",2150
"2610","NC_077052.1","RNA","ssRNA(+)","Aconite virus A","Aconite virus A","Carlavirus","Betaflexiviridae",8866
"2611","NC_002551.1","RNA","ssRNA(+)","Vesicular exanthema of swine virus","Vesicular exanthema of swine virus","Vesivirus","Caliciviridae",8284
"2612","NC_001616.1","RNA","ssRNA(+)","Potato virus Y","Potato virus Y","Potyvirus","Potyviridae",9704
"2613","NC_074500.1","RNA","RNA","ssRNA phage Zoerhiza.2_18","Tehmuvirus arvivivens","Tehmuvirus","Steitzviridae",3614
"2614","NC_005997.1","RNA","dsRNA","St Croix River virus","St Croix River virus","Orbivirus","Sedoreoviridae",4089
"2615","NC_074293.1","RNA","RNA","ssRNA phage Gerhypos.4_60","Cunavirus pedohabitans","Cunarovirus","Steitzviridae",3767
"2616","NC_017862.1","DNA","dsDNA","Equus caballus papillomavirus 3","Dyoiotapapillomavirus 1","Dyoiotapapillomavirus","Papillomaviridae",7582
"2617","NC_078824.1","RNA","ssRNA(+)","Blueberry leaf mottle virus","Nepovirus myrtilli","Nepovirus","Secoviridae",7748
"2618","NC_078238.1","RNA","ssRNA(-)","South Bay virus","Sabavirus americanum","Sabavirus","Nairoviridae",5536
"2619","NC_014143.1","DNA","dsDNA","Bettongia penicillata papillomavirus 1","Dyolambdapapillomavirus 1","Dyolambdapapillomavirus","Papillomaviridae",7737
"2620","NC_007994.1","DNA","dsDNA","Ichnoviriform sonorense","Ichnoviriform sonorense","Ichnoviriform","Polydnaviriformidae",9391
"2621","NC_076230.1","RNA","ssRNA(+)","Jasmine mosaic-associated virus 2","Jasmine mosaic-associated virus 2","Pelarspovirus","Tombusviridae",3885
"2622","NC_040448.1","RNA","RNA","Melon chlorotic spot virus","Mechlorovirus cucumeris","Mechlorovirus","Phenuiviridae",1598
"2623","NC_038464.1","DNA","ssDNA(+/-)","Sweet potato leaf curl China virus","Sweet potato leaf curl China virus","Begomovirus","Geminiviridae",2771
"2624","NC_077941.1","RNA","ssRNA(-)","Abras virus","Orthobunyavirus abrasense","Orthobunyavirus","Peribunyaviridae",6901
"2625","NC_011216.1","DNA","dsDNA","Burkholderia phage KS10","Burkholderia phage KS10","Unknown","Unknown",37635
"2626","NC_006306.2","RNA","ssRNA(-)","Influenza C virus (C/Ann Arbor/1/50)","Gammainfluenzavirus influenzae","Gammainfluenzavirus","Orthomyxoviridae",935
"2627","NC_043047.1","RNA","ssRNA(-)","Cumuto virus","Goukovirus cumutoense","Goukovirus","Phenuiviridae",1176
"2628","NC_075121.1","DNA","dsDNA","Betapolyomavirus securanorvegicus","Betapolyomavirus securanorvegicus","Betapolyomavirus","Polyomaviridae",5104
"2629","NC_034159.1","RNA","dsRNA","Pepper cryptic virus 2","Pepper cryptic virus 2","Deltapartitivirus","Partitiviridae",1609
"2630","NC_048854.1","DNA","dsDNA","Streptomyces phage JXY1","Manuelvirus JXY1","Manuelvirus","Unknown",45385
"2631","NC_049343.1","DNA","dsDNA","Escherichia phage 500465-2","Gemsvirus gv5004652","Gemsvirus","Peduoviridae",33041
"2632","NC_034565.1","RNA","ssRNA(-)","Kenkeme virus","Orthohantavirus kenkemeense","Orthohantavirus","Hantaviridae",3635
"2633","NC_007663.1","RNA","dsRNA","Yunnan orbivirus","Yunnan orbivirus","Orbivirus","Sedoreoviridae",1191
"2634","NC_005288.1","RNA","ssRNA(+)","Lily mottle virus","Lily mottle virus","Potyvirus","Potyviridae",9644
"2635","NC_074062.1","RNA","ssRNA(+)","ssRNA phage SRR5467091_6","Pipunevirus borborovicinum","Pipunevirus","Fiersviridae",3847
"2636","NC_055754.1","DNA","dsDNA","Gordonia phage Frokostdame","Jujuvirus frokostdame","Jujuvirus","Unknown",52531
"2637","NC_028265.1","RNA","ssRNA(-)","Wuhan Mosquito Virus 8","Culicidavirus culicidae","Culicidavirus","Chuviridae",12004
"2638","NC_020199.1","DNA","dsDNA","Staphylococcus phage phi7401PVL","Triavirus JS02","Triavirus","Unknown",47252
"2639","NC_003790.1","RNA","ssRNA(+)","Chicken astrovirus","Chicken astrovirus","Avastrovirus","Astroviridae",6927
"2640","NC_033446.1","RNA","RNA","Wuhan arthropod virus 4","Wuhan arthropod virus 4","Unknown","Unknown",2912
"2641","NC_076665.1","RNA","ssRNA","Neurospora discreta fusarivirus 1","Alphafusarivirus neurosporae","Alphafusarivirus","Fusariviridae",6648
"2642","NC_029037.2","RNA","ssRNA(+)","Colombian potato soil-borne virus","Colombian potato soil-borne virus","Pomovirus","Virgaviridae",3028
"2643","NC_055785.1","DNA","dsDNA","Gordonia phage Mutzi","Wizardvirus mutzi","Wizardvirus","Unknown",59655
"2644","NC_077830.1","RNA","ssRNA(-)","Orthobunyavirus thimiriense","Orthobunyavirus thimiriense","Orthobunyavirus","Peribunyaviridae",6991
"2645","NC_005066.1","DNA","dsDNA","Escherichia phage RB49","Krischvirus RB49","Krischvirus","Straboviridae",164018
"2646","NC_073985.1","RNA","ssRNA(+)","ssRNA phage SRR5466725_19","Lohmavirus borborovivens","Lohmavirus","Fiersviridae",3765
"2647","NC_009547.1","DNA","ssDNA(+/-)","Sida yellow vein Vietnam virus","Sida yellow vein Vietnam virus","Begomovirus","Geminiviridae",2753
"2648","NC_047722.1","DNA","dsDNA","Staphylococcus phage Staph1N","Kayvirus G1","Kayvirus","Herelleviridae",145647
"2649","NC_033278.1","RNA","dsRNA","Isaria javanica chrysovirus 1","Alphachrysovirus isariae","Alphachrysovirus","Chrysoviridae",2874
"2650","NC_024806.1","RNA","ssRNA(+)","Lammi virus","Lammi virus","Unknown","Flaviviridae",10320
"2651","NC_035071.1","RNA","ssRNA(+)","Apis flavivirus","Apis flavivirus","Unknown","Flaviviridae",20414
"2652","NC_043416.1","RNA","ssRNA(+)","Astrovirus dogfaeces/Italy/2005","Mamastrovirus 5","Mamastrovirus","Astroviridae",2756
"2653","NC_021342.2","DNA","dsDNA","Edwardsiella phage PEi21","Yokohamavirus PEi21","Yokohamavirus","Unknown",43378
"2654","NC_029900.1","RNA","ssRNA(+)","Potato necrosis virus","Alphanecrovirus solani","Alphanecrovirus","Tombusviridae",3674
"2655","NC_019420.1","DNA","dsDNA","Edwardsiella phage KF-1","Kafunavirus KF1","Kafunavirus","Unknown",41549
"2656","NC_055121.1","DNA","ssDNA(+/-)","Bamboo rat circovirus","Circovirus gryzon","Circovirus","Circoviridae",2112
"2657","NC_032933.1","RNA","RNA","Wenzhou picorna-like virus 41","Wenzhou picorna-like virus 41","Unknown","Unknown",7966
"2658","NC_073836.1","RNA","RNA","ssRNA phage Gerhypos.4_59","Rainacovirus tellurivivens","Rainacovirus","Atkinsviridae",3800
"2659","NC_043454.1","DNA","dsDNA","Diachasmimorpha longicaudata entomopoxvirus","Diachasmimorpha entomopoxvirus","Unknown","Poxviridae",878
"2660","NC_005320.1","DNA","ssDNA(+/-)","Tomato leaf curl China virus","Tomato leaf curl China virus","Begomovirus","Geminiviridae",2738
"2661","NC_076554.1","RNA","ssRNA(+)","Gremmeniella abietina non-host-specific mitochondrial RNA virus S1","Gremmeniella abietina non-host-specific mitochondrial RNA virus S1","Mitovirus","Mitoviridae",2544
"2662","NC_009031.1","DNA","ssDNA(+/-)","Tomato leaf curl Seychelles virus","Tomato leaf curl Seychelles virus","Begomovirus","Geminiviridae",2742
"2663","NC_015227.2","RNA","ssRNA(+)","Trailing lespedeza virus 1","Tralespevirus lespedezae","Tralespevirus","Tombusviridae",3929
"2664","NC_055395.1","RNA","ssRNA(-)","Anopheles triannulatus orthophasmavirus","Orthophasmavirus anophelae","Orthophasmavirus","Phasmaviridae",2246
"2665","NC_077118.1","RNA","ssRNA(+)","Scorzonera virus A","Scorzonera virus A","Potyvirus","Potyviridae",9867
