"","Id","molecule","Molecule_type","Organism_Name","Species","Genus","Family","Length"
"2416","NC_032554.1","RNA","RNA","Beihai sipunculid worm virus 2","Beihai sipunculid worm virus 2","Unknown","Unknown",9395
"2417","NC_003483.1","RNA","ssRNA(+)","Barley mild mosaic virus","Barley mild mosaic virus","Bymovirus","Potyviridae",7262
"2418","NC_033205.1","RNA","RNA","Wenzhou picorna-like virus 26","Wenzhou picorna-like virus 26","Unknown","Unknown",9287
"2419","NC_013108.1","RNA","ssRNA(-)","European mountain ash ringspot-associated virus","European mountain ash ringspot-associated virus","Emaravirus","Fimoviridae",1559
"2420","NC_074208.1","RNA","RNA","ssRNA phage SRR6960799_6","Yenihzavirus borboradaptatum","Yenihzavirus","Blumeviridae",4161
"2421","NC_003687.1","RNA","ssRNA(+)","Powassan virus","Orthoflavivirus powassanense","Orthoflavivirus","Flaviviridae",10839
"2422","NC_073857.1","RNA","RNA","ssRNA phage SRR5466725_8","Tehuhdavirus pelovivens","Tehuhdavirus","Duinviridae",4458
"2423","NC_074049.1","RNA","ssRNA(+)","ssRNA phage SRR5467137_1","Paysduvirus asiocola","Paysduvirus","Fiersviridae",3557
"2424","NC_020073.2","RNA","ssRNA(+)","Moroccan pepper virus","Tombusvirus moroccoense","Tombusvirus","Tombusviridae",4772
"2425","NC_078636.1","RNA","RNA","Plasmopara viticola lesion associated mycobunyavirales-like virus 8","Orthodiscovirus hispaniae","Orthodiscovirus","Discoviridae",1726
"2426","NC_029127.1","RNA","ssRNA(+/-)","Adana virus","Phlebovirus adanaense","Phlebovirus","Phenuiviridae",6405
"2427","NC_055627.1","RNA","dsRNA","Coniothyrium diplodiella chrysovirus 1","Betachrysovirus coniothyrii","Betachrysovirus","Chrysoviridae",3625
"2428","NC_074081.1","RNA","ssRNA(+)","ssRNA phage Esthiorhiza.2_6","Radbaivirus tellurenecus","Radbaivirus","Fiersviridae",4250
"2429","NC_033485.1","RNA","RNA","Wuhan fly virus 5","Wuhan fly virus 5","Unknown","Unknown",1698
"2430","NC_077843.1","RNA","dsRNA","Mammalian orthoreovirus 3 Dearing","Mammalian orthoreovirus","Orthoreovirus","Spinareoviridae",2207
"2431","NC_022801.1","RNA","ssRNA(+)","Yellow tailflower mild mottle virus","Yellow tailflower mild mottle virus","Tobamovirus","Virgaviridae",6379
"2432","NC_007740.1","RNA","dsRNA","Liao ning virus","Liao ning virus","Seadornavirus","Sedoreoviridae",1870
"2433","NC_076409.1","RNA","ssRNA(+)","Citrus yellow mottle virus","Citrus yellow mottle virus","Potexvirus","Alphaflexiviridae",7479
"2434","NC_037659.1","RNA","ssRNA(+)","Botrytis cinerea hypovirus 1","Betahypovirus sinensis","Betahypovirus","Hypoviridae",10252
"2435","NC_078954.1","RNA","ssRNA(-)","Boraceia virus","Orthobunyavirus cuchillaense","Orthobunyavirus","Peribunyaviridae",4544
"2436","NC_028949.1","RNA","dsRNA","Hordeum vulgare alphaendornavirus","Hordeum vulgare alphaendornavirus","Alphaendornavirus","Endornaviridae",14243
"2437","NC_074481.1","RNA","RNA","ssRNA phage Zoerhiza.4_24","Pujohnavirus telluradaptatum","Pujohnavirus","Steitzviridae",3803
"2438","NC_006316.1","RNA","ssRNA(-)","Citrus psorosis virus","Ophiovirus citri","Ophiovirus","Aspiviridae",1447
"2439","NC_034262.1","RNA","ssRNA(-)","Thogotovirus dhoriense","Thogotovirus dhoriense","Thogotovirus","Orthomyxoviridae",1478
"2440","NC_020445.1","RNA","dsRNA","Melaka orthoreovirus","Pteropine orthoreovirus","Orthoreovirus","Spinareoviridae",1192
"2441","NC_055257.1","RNA","dsRNA","Tarumizu tick virus","Tarumizu coltivirus","Coltivirus","Spinareoviridae",1587
"2442","NC_016044.1","RNA","ssRNA(+)","Chilli ringspot virus","Chilli ringspot virus","Potyvirus","Potyviridae",9595
"2443","NC_029930.1","RNA","ssRNA(-)","Tilapia lake virus","Tilapinevirus tilapiae","Tilapinevirus","Amnoonviridae",465
"2444","NC_004170.1","RNA","dsRNA","Pseudomonas phage phi13","Cystovirus phi13","Cystovirus","Cystoviridae",2981
"2445","NC_028824.1","RNA","ssRNA(+)","BtRf-AlphaCoV/YN2012","BtRf-AlphaCoV/YN2012","Alphacoronavirus","Coronaviridae",26975
"2446","NC_027928.1","RNA","ssRNA(+)","Privet ringspot virus","Privet ringspot virus","Ilarvirus","Bromoviridae",3415
"2447","NC_032513.1","RNA","RNA","Wuhan heteroptera virus 3","Wuhan heteroptera virus 3","Unknown","Unknown",1595
"2448","NC_040840.1","RNA","ssRNA(+)","Blackcurrant leafroll-associated virus 1","Blackcurrant leafroll-associated virus 1","Closterovirus","Closteroviridae",17161
"2449","NC_076640.1","RNA","ssRNA","Sclerotium rolfsii fusarivirus 2","Alphafusarivirus rolfsii","Alphafusarivirus","Fusariviridae",7281
"2450","NC_020160.1","RNA","ssRNA","Dahlia latent viroid","Dahlia latent viroid","Hostuviroid","Pospiviroidae",342
"2451","NC_026801.1","RNA","ssRNA(-)","Black grass varicosavirus-like virus","Varicosavirus alopecuri","Varicosavirus","Rhabdoviridae",6552
"2452","NC_073880.1","RNA","ssRNA(+)","ssRNA phage SRR6960551_4","Bohwovirus asiocola","Bohwovirus","Fiersviridae",4295
"2453","NC_021153.1","RNA","ssRNA(+)","Rodent hepacivirus","Rodent hepacivirus","Hepacivirus","Flaviviridae",8879
"2454","NC_040590.1","RNA","dsRNA","Phalaenopsis equestris amalgavirus 1","Phalaenopsis equestris amalgavirus 1","Unknown","Amalgaviridae",3394
"2455","NC_038426.1","RNA","ssRNA(+)","Hepacivirus platyrrhini","Hepacivirus platyrrhini","Hepacivirus","Flaviviridae",9143
"2456","NC_031449.1","RNA","dsRNA","Ceratobasidium endornavirus D","Ceratobasidium endornavirus D","Unknown","Endornaviridae",19406
"2457","NC_043551.1","RNA","ssRNA(-)","Peaton virus","Orthobunyavirus peachesterense","Orthobunyavirus","Peribunyaviridae",4324
"2458","NC_018460.1","RNA","ssRNA(-)","Aino virus","Orthobunyavirus ainoense","Orthobunyavirus","Peribunyaviridae",834
"2459","NC_055473.1","RNA","ssRNA(-)","Holmes Jungle virus","Hapavirus holmes","Hapavirus","Rhabdoviridae",13168
"2460","NC_031248.1","RNA","ssRNA(-)","Wenzhou Crab Virus 3","Charybdivirus charybdis","Charybdivirus","Natareviridae",12860
"2461","NC_015135.1","RNA","dsRNA","Avian orthoreovirus","Avian orthoreovirus","Orthoreovirus","Spinareoviridae",1192
"2462","NC_034543.1","RNA","ssRNA(-)","Ord River virus","Hapavirus ord","Hapavirus","Rhabdoviridae",13189
"2463","NC_002563.1","RNA","dsRNA","Trichoplusia ni cypovirus 15","Cypovirus 15","Cypovirus","Spinareoviridae",1234
"2464","NC_003740.1","RNA","ssRNA(+)","Raspberry bushy dwarf virus","Idaeovirus rubi","Idaeovirus","Mayoviridae",2231
"2465","NC_001451.1","RNA","ssRNA(+)","Infectious bronchitis virus","Avian coronavirus","Gammacoronavirus","Coronaviridae",27608
"2466","NC_055428.1","RNA","RNA","Yongjia Tick Virus 1","Uukuvirus yongjiaense","Uukuvirus","Phenuiviridae",1830
"2467","NC_078394.1","RNA","ssRNA(+)","Tomato fruit blotch virus","Blunervirus solani","Blunervirus","Kitaviridae",2872
"2468","NC_003654.1","RNA","dsRNA","Nilaparvata lugens reovirus","Nilaparvata lugens reovirus","Fijivirus","Spinareoviridae",4391
"2469","NC_043197.1","RNA","ssRNA(+)","Extra small virus","Macrobrachium satellite virus 1","Macronovirus","Sarthroviridae",796
"2470","NC_004909.1","RNA","ssRNA(-)","Influenza A virus (A/Hong Kong/1073/99(H9N2))","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae",1418
"2471","NC_015881.1","RNA","dsRNA","Baboon orthoreovirus","Baboon orthoreovirus","Orthoreovirus","Spinareoviridae",2143
"2472","NC_030691.1","RNA","ssRNA(-)","Aquatic bird bornavirus 2","Orthobornavirus avisaquaticae","Orthobornavirus","Bornaviridae",8904
"2473","NC_055412.1","RNA","ssRNA(+/-)","Tomato yellow ring virus","Orthotospovirus tomatanuli","Orthotospovirus","Tospoviridae",3061
"2474","NC_040407.1","RNA","dsRNA","Bat rotavirus","Bat rotavirus","Rotavirus","Sedoreoviridae",597
"2475","NC_077111.1","RNA","RNA","Mejal virus","Mejal virus","Unknown","Unknown",11112
"2476","NC_033034.1","RNA","ssRNA(-)","Hubei diptera virus 9","Sigmavirus hubei","Sigmavirus","Rhabdoviridae",13000
"2477","NC_008310.2","RNA","ssRNA(+)","Hibiscus latent Singapore virus","Hibiscus latent Singapore virus","Tobamovirus","Virgaviridae",6485
"2478","NC_040771.1","RNA","ssRNA(-)","Tunis virus","Orthonairovirus tunisense","Orthonairovirus","Nairoviridae",4806
"2479","NC_033239.1","RNA","RNA","Wenzhou sobemo-like virus 1","Wenzhou sobemo-like virus 1","Unknown","Unknown",4225
"2480","NC_011800.1","RNA","ssRNA-RT","Human T-lymphotropic virus 4","Human T-lymphotropic virus 4","Deltaretrovirus","Retroviridae",8791
"2481","NC_033155.1","RNA","RNA","Changjiang tombus-like virus 20","Changjiang tombus-like virus 20","Unknown","Unknown",4964
"2482","NC_025383.1","RNA","ssRNA(-)","Sclerotinia sclerotiorum negative-stranded RNA virus 1","Sclerotimonavirus sclerotiniae","Sclerotimonavirus","Mymonaviridae",10002
"2483","NC_040585.1","RNA","ssRNA(+)","Rhizophagus irregularis mitovirus 1","Duamitovirus rhir1","Duamitovirus","Mitoviridae",3601
"2484","NC_024915.1","RNA","dsRNA","Cimodo virus","Cimodo virus","Unknown","Unknown",585
"2485","NC_033039.1","RNA","RNA","Changjiang hepe-like virus 1","Changjiang hepe-like virus 1","Unknown","Unknown",10473
"2486","NC_017990.1","RNA","dsRNA","Botrytis porri botybirnavirus 1","Botrytis porri botybirnavirus 1","Botybirnavirus","Unknown",6215
"2487","NC_034245.1","RNA","ssRNA(+)","Bovine rhinovirus 1","Bovine rhinovirus 1","Aphthovirus","Picornaviridae",7253
"2488","NC_076395.1","RNA","ssRNA(-)","Rodent deltavirus","Rodent deltavirus","Deltavirus","Kolmioviridae",1671
"2489","NC_032973.1","RNA","RNA","Hubei picorna-like virus 75","Hubei picorna-like virus 75","Unknown","Unknown",10123
"2490","NC_055289.1","RNA","RNA","Penicillium brevicompactum tetramycovirus 1","Penicillum brevicompactum polymycovirus 1","Polymycovirus","Polymycoviridae",2400
"2491","NC_074320.1","RNA","RNA","ssRNA phage Esthiorhiza.2_32","Gredihovirus neoterrihabitans","Gredihovirus","Steitzviridae",3659
"2492","NC_006505.1","RNA","ssRNA(-)","Infectious salmon anemia virus","Isavirus salaris","Isavirus","Orthomyxoviridae",2169
"2493","NC_040444.1","RNA","dsRNA","Daphnis nerii cypovirus","Daphnis nerii cypovirus","Cypovirus","Spinareoviridae",2409
"2494","NC_035134.1","RNA","ssRNA(+)","Cucurbit vein banding virus","Cucurbit vein banding virus","Potyvirus","Potyviridae",9969
"2495","NC_078658.1","RNA","ssRNA(-)","Barstukas virus","Orthophasmavirus barstukasense","Orthophasmavirus","Phasmaviridae",2037
"2496","NC_043407.1","RNA","ssRNA(-)","Necocli virus","Orthohantavirus necocliense","Orthohantavirus","Hantaviridae",403
"2497","NC_044045.1","RNA","ssRNA(+)","Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299","Norwalk virus","Norovirus","Caliciviridae",7551
"2498","NC_036585.1","RNA","ssRNA(+)","Armigeres iflavirus","Armigeres iflavirus","Iflavirus","Iflaviridae",9283
"2499","NC_077817.1","RNA","dsRNA","Botryosphaeria dothidea chrysovirus 1","Betachrysovirus botryosphaeriae","Betachrysovirus","Chrysoviridae",3654
"2500","NC_003710.1","RNA","dsRNA","Discula destructiva virus 2","Discula destructiva virus 2","Gammapartitivirus","Partitiviridae",1781
"2501","NC_014470.1","RNA","ssRNA(+)","Bat coronavirus BM48-31/BGR/2008","Bat coronavirus BM48-31/BGR/2008","Betacoronavirus","Coronaviridae",29276
"2502","NC_077940.1","RNA","ssRNA(-)","Abras virus","Orthobunyavirus abrasense","Orthobunyavirus","Peribunyaviridae",4777
"2503","NC_077114.1","RNA","ssRNA(-)","Rhabdoviridae sp.","Rhabdoviridae sp.","Unknown","Rhabdoviridae",12485
"2504","NC_076490.1","RNA","ssRNA(-)","Lepidopteran rhabdo-related virus 34","Betapaprhavirus sylvina","Betapaprhavirus","Rhabdoviridae",13262
"2505","NC_004718.3","RNA","ssRNA(+)","SARS coronavirus Tor2","Severe acute respiratory syndrome-related coronavirus","Betacoronavirus","Coronaviridae",29751
"2506","NC_015941.1","RNA","ssRNA(+)","Bat picornavirus 2","Bat picornavirus 2","Unknown","Picornaviridae",7693
"2507","NC_008366.1","RNA","ssRNA(+)","Strawberry chlorotic fleck-associated virus","Strawberry chlorotic fleck-associated virus","Closterovirus","Closteroviridae",17039
"2508","NC_073861.1","RNA","ssRNA(+)","ssRNA phage Gerhypos.4_17","Andhasavirus agrivivens","Andhasavirus","Fiersviridae",4021
"2509","NC_002200.1","RNA","ssRNA(-)","Mumps orthorubulavirus","Orthorubulavirus parotitidis","Orthorubulavirus","Paramyxoviridae",15384
"2510","NC_025404.1","RNA","ssRNA(-)","Achimota virus 2","Pararubulavirus accraense","Pararubulavirus","Paramyxoviridae",15504
"2511","NC_040599.1","RNA","ssRNA(-)","Merida virus","Merhavirus merida","Merhavirus","Rhabdoviridae",11798
"2512","NC_079090.1","RNA","ssRNA(-)","Japanese star anise ringspot-associated virus","Japanese star anise ringspot-associated virus","Emaravirus","Fimoviridae",1660
"2513","NC_073906.1","RNA","ssRNA(+)","ssRNA phage Gerhypos.1_9","Chahsmivirus agrivicinum","Chahsmivirus","Fiersviridae",4418
"2514","NC_038626.1","RNA","dsRNA","Green River chinook virus","Aquareovirus B","Aquareovirus","Spinareoviridae",1315
"2515","NC_033701.1","RNA","ssRNA(-)","Xingshan nematode virus 4","Alphanemrhavirus xingshan","Alphanemrhavirus","Rhabdoviridae",11743
"2516","NC_073923.1","RNA","ssRNA(+)","ssRNA phage Gerhypos.4_66","Condavirus edaphocola","Condavirus","Fiersviridae",3608
"2517","NC_025833.1","RNA","ssRNA(-)","Leopards Hill virus","Orthonairovirus lusakaense","Orthonairovirus","Nairoviridae",1760
"2518","NC_076526.1","RNA","ssRNA(+)","Oxybasis rubra mitovirus 1","Duamitovirus oxru1","Duamitovirus","Mitoviridae",2734
"2519","NC_036469.1","RNA","dsRNA","Piscine orthoreovirus","Piscine orthoreovirus","Orthoreovirus","Spinareoviridae",2383
"2520","NC_043589.1","RNA","ssRNA(-)","Ingwavuma virus","Orthobunyavirus ingwavumaense","Orthobunyavirus","Peribunyaviridae",4492
"2521","NC_032757.1","RNA","RNA","Hubei picorna-like virus 15","Hubei picorna-like virus 15","Unknown","Unknown",9910
"2522","NC_039018.1","RNA","ssRNA(-)","Antarctic penguin virus B","Orthoavulavirus kopaiticense","Orthoavulavirus","Paramyxoviridae",14931
"2523","NC_020471.1","RNA","ssRNA(+)","Andean potato mild mosaic virus","Tymovirus mosandigenum","Tymovirus","Tymoviridae",6226
"2524","NC_027548.1","RNA","dsRNA","Chenuda virus","Chenuda virus","Orbivirus","Sedoreoviridae",1672
"2525","NC_077975.1","RNA","ssRNA(-)","Apeu virus","Orthobunyavirus apeuense","Orthobunyavirus","Peribunyaviridae",1082
"2526","NC_076915.1","RNA","ssRNA(-)","Jimsystermes virus","Copasivirus manlyvaleense","Copasivirus","Lispiviridae",12361
"2527","NC_023017.1","RNA","ssRNA(+)","Lamium mild mosaic virus","Fabavirus lamii","Fabavirus","Secoviridae",4065
"2528","NC_034207.1","RNA","ssRNA(+)","African eggplant yellowing virus","African eggplant yellowing virus","Polerovirus","Solemoviridae",5953
"2529","NC_021542.1","RNA","dsRNA","Human rotavirus B","Rotavirus B","Rotavirus","Sedoreoviridae",814
"2530","NC_003924.1","RNA","ssRNA(+)","Cricket paralysis virus","Cripavirus grylli","Cripavirus","Dicistroviridae",9185
"2531","NC_032172.1","RNA","RNA","Beihai noda-like virus 18","Beihai noda-like virus 18","Unknown","Unknown",3220
"2532","NC_028234.1","RNA","ssRNA(-)","Santa barbara virus","Arurhavirus santabarbara","Arurhavirus","Rhabdoviridae",12162
"2533","NC_023487.1","RNA","dsRNA","Inachis io cypovirus 2","Cypovirus 2","Cypovirus","Spinareoviridae",3286
"2534","NC_076670.1","RNA","ssRNA(+)","Rhizoctonia solani mitovirus 25","Duamitovirus rhso25","Duamitovirus","Mitoviridae",3767
"2535","NC_029905.1","RNA","ssRNA(+)","Enterovirus SEV-gx","Enterovirus L","Enterovirus","Picornaviridae",7367
"2536","NC_040484.1","RNA","dsRNA","Melon partitivirus","Melon partitivirus","Unknown","Partitiviridae",1654
"2537","NC_026314.1","RNA","ssRNA(+)","rabbit kobuvirus","Aichivirus E","Kobuvirus","Picornaviridae",7853
"2538","NC_031136.1","RNA","ssRNA(-)","Huangpi Tick Virus 1","Orthonairovirus huangpiense","Orthonairovirus","Nairoviridae",4675
"2539","NC_001921.1","RNA","ssRNA(-)","Morbillivirus canis","Morbillivirus canis","Morbillivirus","Paramyxoviridae",15690
"2540","NC_018506.1","RNA","ssRNA(+)","limnipivirus A1","Limnipivirus A","Limnipivirus","Picornaviridae",8050
"2541","NC_035116.1","RNA","ssRNA(+)","Lake Sinai Virus TO","Lake Sinai Virus TO","Sinaivirus","Sinhaliviridae",5877
"2542","NC_032431.1","RNA","RNA","Hubei tombus-like virus 37","Hubei tombus-like virus 37","Unknown","Unknown",5516
"2543","NC_035219.1","RNA","ssRNA(+)","Lettuce necrotic leaf curl virus","Torradovirus lactucae","Torradovirus","Secoviridae",5300
"2544","NC_006506.1","RNA","ssRNA(-)","Thogotovirus thogotoense","Thogotovirus thogotoense","Thogotovirus","Orthomyxoviridae",1574
"2545","NC_004189.1","RNA","dsRNA","Colorado tick fever virus","Colorado tick fever coltivirus","Coltivirus","Spinareoviridae",1880
"2546","NC_038562.1","RNA","ssRNA(+)","Gloriosa stripe mosaic virus","Gloriosa stripe mosaic virus","Potyvirus","Potyviridae",9455
"2547","NC_077005.1","RNA","ssRNA(+)","Anemone mosaic virus","Anemone mosaic virus","Potyvirus","Potyviridae",9698
"2548","NC_055301.1","RNA","ssRNA(+/-)","Punique virus","Phlebovirus puniqueense","Phlebovirus","Phenuiviridae",4219
"2549","NC_007364.1","RNA","ssRNA(-)","Influenza A virus (A/goose/Guangdong/1/1996(H5N1))","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae",865
"2550","NC_003478.1","RNA","ssRNA(+)","Barley stripe mosaic virus","Barley stripe mosaic virus","Hordeivirus","Virgaviridae",3164
"2551","NC_055167.1","RNA","ssRNA(-)","bank vole virus 1","Narmovirus myodesis","Narmovirus","Paramyxoviridae",16992
"2552","NC_007415.1","RNA","ssRNA(+)","Sclerotinia sclerotiorum debilitation-associated RNA virus","Sclerotinia sclerotiorum debilitation-associated RNA virus","Sclerodarnavirus","Alphaflexiviridae",5470
"2553","NC_078405.1","RNA","RNA","Grapevine Garan dmak virus","Rubodvirus armeniaense","Rubodvirus","Phenuiviridae",8061
"2554","NC_031297.1","RNA","ssRNA(-)","Wuhan Fly Virus 1","Phasivirus wuhanense","Phasivirus","Phenuiviridae",1116
"2555","NC_077819.1","RNA","dsRNA","Botryosphaeria dothidea chrysovirus 1","Betachrysovirus botryosphaeriae","Betachrysovirus","Chrysoviridae",2597
"2556","NC_028370.1","RNA","ssRNA(+)","Xingshan cricket virus","Xingshan cricket virus","Unknown","Unknown",21779
"2557","NC_032413.1","RNA","RNA","Beihai barnacle virus 15","Beihai barnacle virus 15","Unknown","Unknown",7382
"2558","NC_001506.1","RNA","ssRNA-RT","Murine osteosarcoma virus","Murine osteosarcoma virus","Gammaretrovirus","Retroviridae",3811
"2559","NC_079112.1","RNA","dsRNA","Fusarium oxysporum alternavirus 1","Fusarium oxysporum alternavirus 1","Alternavirus","Alternaviridae",1873
"2560","NC_001927.1","RNA","ssRNA(-)","Bunyamwera virus","Orthobunyavirus bunyamweraense","Orthobunyavirus","Peribunyaviridae",961
"2561","NC_016436.1","RNA","ssRNA(+)","Grapevine leafroll-associated virus 7","Grapevine leafroll-associated virus 7","Velarivirus","Closteroviridae",16404
"2562","NC_033226.1","RNA","RNA","Hubei picorna-like virus 51","Hubei picorna-like virus 51","Unknown","Unknown",8905
"2563","NC_038620.1","RNA","dsRNA","Warrego virus","Warrego virus","Orbivirus","Sedoreoviridae",2992
"2564","NC_077763.1","RNA","ssRNA(-)","Lishi spider virus 1","Scarabeuvirus lishiense","Scarabeuvirus","Chuviridae",7051
"2565","NC_033827.1","RNA","RNA","Beihai picorna-like virus 57","Beihai picorna-like virus 57","Unknown","Unknown",8518
"2566","NC_076635.1","RNA","ssRNA(+)","Red clover associated virus 1","Waikavirus trifolii","Waikavirus","Secoviridae",11891
"2567","NC_077219.1","RNA","ssRNA(-)","giant squirrel virus","Respirovirus ratufae","Respirovirus","Paramyxoviridae",15378
"2568","NC_077837.1","RNA","dsRNA","Mammalian orthoreovirus 3 Dearing","Mammalian orthoreovirus","Orthoreovirus","Spinareoviridae",1198
"2569","NC_045512.2","RNA","ssRNA(+)","Severe acute respiratory syndrome coronavirus 2","Severe acute respiratory syndrome-related coronavirus","Betacoronavirus","Coronaviridae",29903
"2570","NC_075994.1","RNA","ssRNA(+)","Potamipivirus A","Potamipivirus A","Potamipivirus","Picornaviridae",8532
"2571","NC_076767.1","RNA","ssRNA(+)","Plasmopara viticola lesion associated ourmia-like virus 37","Betascleroulivirus gammaplasmoparae","Betascleroulivirus","Botourmiaviridae",2352
"2572","NC_030883.1","RNA","dsRNA","Fusarium poae alternavirus 1","Fusarium poae alternavirus 1","Alternavirus","Alternaviridae",3559
"2573","NC_040485.1","RNA","dsRNA","Colletotrichum fructicola chrysovirus 1","Betachrysovirus colletotrichi","Betachrysovirus","Chrysoviridae",3620
"2574","NC_002042.1","RNA","ssRNA(+)","Soil-borne wheat mosaic virus","Soil-borne wheat mosaic virus","Furovirus","Virgaviridae",3593
"2575","NC_029919.1","RNA","dsRNA","Mahlapitsi orthoreovirus","Mahlapitsi orthoreovirus","Orthoreovirus","Spinareoviridae",1277
"2576","NC_031220.1","RNA","ssRNA(-)","Shayang Spider Virus 1","Shaspivirus aranei","Shaspivirus","Nairoviridae",13486
"2577","NC_031218.1","RNA","ssRNA(-)","Shayang Spider Virus 1","Shaspivirus aranei","Shaspivirus","Nairoviridae",4805
"2578","NC_007672.1","RNA","dsRNA","Aedes pseudoscutellaris reovirus","Aedes pseudoscutellaris reovirus","Dinovernavirus","Spinareoviridae",1171
"2579","NC_074571.1","RNA","RNA","ssRNA phage Gerhypos.4_42","Endehruvirus chthonenecus","Endehruvirus","Steitzviridae",3741
"2580","NC_074240.1","RNA","RNA","ssRNA phage Gerhypos.4_43","Arpirivirus pedohabitans","Arpirivirus","Steitzviridae",3722
"2581","NC_034403.1","RNA","ssRNA(-)","Orthohantavirus montanoense","Orthohantavirus montanoense","Orthohantavirus","Hantaviridae",6529
"2582","NC_023494.1","RNA","dsRNA","Inachis io cypovirus 2","Cypovirus 2","Cypovirus","Spinareoviridae",1584
"2583","NC_032576.1","RNA","RNA","Beihai picorna-like virus 102","Beihai picorna-like virus 102","Unknown","Unknown",7273
"2584","NC_021098.1","RNA","dsRNA","Hop trefoil cryptic virus 2","Hop trefoil cryptic virus 2","Betapartitivirus","Partitiviridae",2431
"2585","NC_073809.1","RNA","RNA","ssRNA phage Esthiorhiza.3_4","Lobdovirus chorovicinum","Lobdovirus","Atkinsviridae",3685
"2586","NC_076631.1","RNA","ssRNA(+)","Peach chlorotic leaf spot virus","Trichovirus PCLSV","Trichovirus","Betaflexiviridae",7466
"2587","NC_038880.1","RNA","ssRNA(+)","Rosavirus M-7","Rosavirus A","Rosavirus","Picornaviridae",8749
"2588","NC_075974.1","RNA","ssRNA(+)","Picornavirales sp.","Picornavirales sp.","Unknown","Unknown",8422
"2589","NC_043424.1","RNA","ssRNA(+)","Tuberose mild mottle virus","Tuberose mild mottle virus","Potyvirus","Potyviridae",4607
"2590","NC_001786.1","RNA","ssRNA(+)","Barmah Forest virus","Barmah Forest virus","Alphavirus","Togaviridae",11488
"2591","NC_039218.1","RNA","ssRNA(+)","Kyasanur Forest disease virus","Orthoflavivirus kyasanurense","Orthoflavivirus","Flaviviridae",10376
"2592","NC_025353.1","RNA","ssRNA(-)","Vesicular stomatitis Alagoas virus","Vesiculovirus alagoas","Vesiculovirus","Rhabdoviridae",11070
"2593","NC_005079.1","RNA","ssRNA(+/-)","Mammarenavirus machupoense","Mammarenavirus machupoense","Mammarenavirus","Arenaviridae",7196
"2594","NC_033007.1","RNA","RNA","Beihai weivirus-like virus 21","Beihai weivirus-like virus 21","Unknown","Unknown",4570
"2595","NC_032863.1","RNA","RNA","Shahe picorna-like virus 9","Shahe picorna-like virus 9","Unknown","Unknown",9126
"2596","NC_040399.1","RNA","ssRNA(+)","Red clover nepovirus A","Nepovirus pratensis","Nepovirus","Secoviridae",7326
"2597","NC_074503.1","RNA","RNA","ssRNA phage Gerhypos.1_7","Tehnicivirus edaphohabitans","Tehnicivirus","Steitzviridae",4575
"2598","NC_014243.1","RNA","dsRNA","Broome reovirus","Broome orthoreovirus","Orthoreovirus","Spinareoviridae",1231
"2599","NC_038694.1","RNA","ssRNA(-)","Rockport virus","Orthohantavirus rockportense","Orthohantavirus","Hantaviridae",3647
"2600","NC_073872.1","RNA","ssRNA(+)","ssRNA phage Esthiorhiza.4_18","Bathrivirus terrenecus","Bathrivirus","Fiersviridae",3672
"2601","NC_033310.1","RNA","RNA","Hubei noda-like virus 8","Hubei noda-like virus 8","Unknown","Unknown",1788
"2602","NC_076575.1","RNA","ssRNA(+)","Alternaria brassicicola mitovirus","Unuamitovirus albr1","Unuamitovirus","Mitoviridae",2506
"2603","NC_055400.1","RNA","ssRNA(+/-)","Mona Grita virus","Phlebovirus monagritaense","Phlebovirus","Phenuiviridae",4160
"2604","NC_021626.1","RNA","dsRNA","Rotavirus F chicken/03V0568/DEU/2003","Rotavirus F","Rotavirus","Sedoreoviridae",2769
"2605","NC_038366.1","RNA","ssRNA(+/-)","Arenaviridae sp. 13ZR68","Mammarenavirus solweziense","Mammarenavirus","Arenaviridae",7149
"2606","NC_003607.2","RNA","dsRNA","Helminthosporium victoriae virus 190S","Helminthosporium victoriae virus 190S","Victorivirus","Totiviridae",5179
"2607","NC_074197.1","RNA","RNA","ssRNA phage Gerhypos.4_51","Pacehavirus humicola","Pacehavirus","Blumeviridae",4452
"2608","NC_032859.1","RNA","RNA","Beihai sobemo-like virus 22","Beihai sobemo-like virus 22","Unknown","Unknown",3092
"2609","NC_052926.1","RNA","ssRNA(-)","Quaranjavirus johnstonense","Quaranjavirus johnstonense","Quaranjavirus","Orthomyxoviridae",2405
"2610","NC_079097.1","RNA","ssRNA(-)","Vitis emaravirus","Vitis emaravirus","Emaravirus","Fimoviridae",2091
"2611","NC_026797.1","RNA","ssRNA(+)","Bovine hepacivirus","Hepacivirus bovis","Hepacivirus","Flaviviridae",8850
"2612","NC_007744.1","RNA","dsRNA","Liao ning virus","Liao ning virus","Seadornavirus","Sedoreoviridae",943
"2613","NC_078260.1","RNA","ssRNA(-)","Pacific coast tick nairovirus","Pacific coast tick nairovirus","Orthonairovirus","Nairoviridae",12461
"2614","NC_005883.1","RNA","dsRNA","Chalara elegans RNA Virus 1","Chalara elegans RNA Virus 1","Victorivirus","Totiviridae",5310
"2615","NC_032854.1","RNA","RNA","Wenling picorna-like virus 9","Wenling picorna-like virus 9","Unknown","Unknown",9041
