"","Accession","Species","Genus","Family"
"5707","NC_074176.1","Bonghivirus borborenecus","Bonghivirus","Blumeviridae"
"5708","NC_055187.1","Pacuvirus tapirapeense","Pacuvirus","Peribunyaviridae"
"5709","NC_014126.1","Providence virus","Alphacarmotetravirus","Carmotetraviridae"
"5711","NC_038938.1","Orthohantavirus prospectense","Orthohantavirus","Hantaviridae"
"5712","NC_078148.1","Orthonairovirus abuhammadense","Orthonairovirus","Nairoviridae"
"5713","NC_005172.1","Aquareovirus C","Aquareovirus","Spinareoviridae"
"5714","NC_055371.1","Uukuvirus silverwaterense","Uukuvirus","Phenuiviridae"
"5715","NC_043582.1","Orthobunyavirus schmallenbergense","Orthobunyavirus","Peribunyaviridae"
"5716","NC_053011.1","Gwanakrovirus SNUABM08","Gwanakrovirus","Casjensviridae"
"5717","NC_043579.1","Orthobunyavirus bataiense","Orthobunyavirus","Peribunyaviridae"
"5718","NC_079091.1","Japanese star anise ringspot-associated virus","Emaravirus","Fimoviridae"
"5719","NC_049975.1","Beecentumtrevirus Goe1","Beecentumtrevirus","Salasmaviridae"
"5720","NC_022761.1","Okubovirus camphawk","Okubovirus","Herelleviridae"
"5721","NC_078082.1","Phlebovirus penablancaense","Phlebovirus","Phenuiviridae"
"5723","NC_003762.1","Rice dwarf virus","Phytoreovirus","Sedoreoviridae"
"5725","NC_076029.1","Pestivirus bovis","Pestivirus","Flaviviridae"
"5726","NC_074605.1","Gredihovirus edaphenecus","Gredihovirus","Steitzviridae"
"5729","NC_038447.1","Orthohantavirus fusongense","Orthohantavirus","Hantaviridae"
"5730","NC_026425.1","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae"
"5731","NC_048151.1","Pogseptimavirus VspSw1","Pogseptimavirus","Demerecviridae"
"5732","NC_040181.1","Jacquemontia yellow mosaic virus","Begomovirus","Geminiviridae"
"5733","NC_038791.1","Bean golden yellow mosaic virus","Begomovirus","Geminiviridae"
"5734","NC_008725.1","Alphabaculovirus mavitratae","Alphabaculovirus","Baculoviridae"
"5736","NC_076675.1","Duamitovirus rhso32","Duamitovirus","Mitoviridae"
"5737","NC_043526.1","Jacquemontia yellow vein virus","Begomovirus","Geminiviridae"
"5738","NC_018481.1","Reptarenavirus californiae","Reptarenavirus","Arenaviridae"
"5739","NC_028108.1","Yellowstone lake phycodnavirus 3","Prasinovirus","Phycodnaviridae"
"5740","NC_003512.1","Beet virus Q","Pomovirus","Virgaviridae"
"5742","NC_015047.1","Sida mosaic Bolivia virus 2","Begomovirus","Geminiviridae"
"5743","NC_074629.1","Gredihovirus neohumicola","Gredihovirus","Steitzviridae"
"5744","NC_001361.2","Potato virus M","Carlavirus","Betaflexiviridae"
"5745","NC_078352.1","Phlebovirus kiborgochense","Phlebovirus","Phenuiviridae"
"5746","NC_034166.1","Fall chinook aquareovirus","Aquareovirus","Spinareoviridae"
"5747","NC_030145.1","Gemycircularvirus porci1","Gemycircularvirus","Genomoviridae"
"5748","NC_076534.1","Replylivirus allogus","Replylivirus","Rhabdoviridae"
"5749","NC_033464.1","Mardivirus spheniscidalpha1","Mardivirus","Orthoherpesviridae"
"5750","NC_006384.1","Ageratum leaf curl virus","Begomovirus","Geminiviridae"
"5753","NC_077051.1","Ambidensovirus sp.","Ambidensovirus","Parvoviridae"
"5754","NC_076382.1","Cladosporium uredinicola ourmiavirus 1","Ourmiavirus","Botourmiaviridae"
"5755","NC_036620.1","Deltainfluenzavirus influenzae","Deltainfluenzavirus","Orthomyxoviridae"
"5760","NC_012093.1","Cystovirus phi2954","Cystovirus","Cystoviridae"
"5762","NC_055276.1","Fusarium redolens polymycovirus 1","Polymycovirus","Polymycoviridae"
"5764","NC_024493.1","Senegalese sole Iberian betanodavirus","Betanodavirus","Nodaviridae"
"5765","NC_062740.1","Haloferacalesvirus Serpecor1","Haloferacalesvirus","Hafunaviridae"
"5768","NC_025352.1","Henipavirus mojiangense","Henipavirus","Paramyxoviridae"
"5769","NC_043189.1","Eriocheir sinensis reovirus","Cardoreovirus","Sedoreoviridae"
"5770","NC_047963.1","Jarilovirus jarilo","Jarilovirus","Autographiviridae"
"5771","NC_009334.1","Lymphocryptovirus humangamma4","Lymphocryptovirus","Orthoherpesviridae"
"5772","NC_053508.1","Faithunavirus guuelaD","Faithunavirus","Vilmaviridae"
"5774","NC_028362.1","Respirovirus caprae","Respirovirus","Paramyxoviridae"
"5775","NC_043572.1","Orthobunyavirus sororocaense","Orthobunyavirus","Peribunyaviridae"
"5779","NC_062778.1","Endlipuvirus intestinihominis","Endlipuvirus","Intestiviridae"
"5780","NC_055410.1","Pacuvirus caimitoense","Pacuvirus","Peribunyaviridae"
"5781","NC_003722.1","Tobacco curly shoot virus","Begomovirus","Geminiviridae"
"5782","NC_023873.1","Lambdapapillomavirus 4","Lambdapapillomavirus","Papillomaviridae"
"5783","NC_003711.1","Discula destructiva virus 2","Gammapartitivirus","Partitiviridae"
"5784","NC_007610.1","Pecentumvirus P100","Pecentumvirus","Herelleviridae"
"5785","NC_013288.1","Ostreococcus tauri virus 1","Prasinovirus","Phycodnaviridae"
"5787","NC_074647.1","Gammapleolipovirus Hardyhisp2","Gammapleolipovirus","Pleolipoviridae"
"5788","NC_052933.1","Paopuvirus azizam","Paopuvirus","Orlajensenviridae"
"5789","NC_028750.1","Slopekvirus matisse","Slopekvirus","Straboviridae"
"5790","NC_073805.1","Lehptevirus chorohabitans","Lehptevirus","Atkinsviridae"
"5793","NC_034550.1","Sripuvirus chaco","Sripuvirus","Rhabdoviridae"
"5794","NC_040192.1","Desmodium mottle virus","Begomovirus","Geminiviridae"
"5796","NC_075990.1","Arurhavirus inhangapi","Arurhavirus","Rhabdoviridae"
"5797","NC_001885.3","Gibbon ape leukemia virus","Gammaretrovirus","Retroviridae"
"5798","NC_031049.1","Bacillus phage NotTheCreek","Wphvirus","Herelleviridae"
"5799","NC_073962.1","Imeberivirus lutenecus","Imeberivirus","Fiersviridae"
"5801","NC_074261.1","Bahnicevirus solenecus","Bahnicevirus","Steitzviridae"
"5803","NC_009989.1","Snake atadenovirus A","Atadenovirus","Adenoviridae"
"5804","NC_043603.1","Pacuvirus evaense","Pacuvirus","Peribunyaviridae"
"5805","NC_009891.1","Aquamavirus A","Aquamavirus","Picornaviridae"
"5807","NC_037052.1","Pepper enamovirus","Enamovirus","Solemoviridae"
"5808","NC_076351.1","Gemycircularvirus austro3","Gemycircularvirus","Genomoviridae"
"5809","NC_003005.1","Aparavirus tauraense","Aparavirus","Dicistroviridae"
"5810","NC_034516.1","Orthohantavirus sangassouense","Orthohantavirus","Hantaviridae"
"5811","NC_076290.1","Cytorhabdovirus alphatrifolii","Cytorhabdovirus","Rhabdoviridae"
"5814","NC_030920.1","Eldridgevirus eldridge","Eldridgevirus","Herelleviridae"
"5815","NC_076396.1","Muscodensovirus dipteran1","Muscodensovirus","Parvoviridae"
"5816","NC_001937.1","Squash leaf curl virus","Begomovirus","Geminiviridae"
"5817","NC_038580.1","Equine encephalosis virus","Orbivirus","Sedoreoviridae"
"5818","NC_030414.2","Etheostoma fonticola aquareovirus","Aquareovirus","Spinareoviridae"
"5819","NC_076595.1","Agaricus bisporus mitovirus 1","Mitovirus","Mitoviridae"
"5820","NC_078048.1","Uukuvirus schmidti","Uukuvirus","Phenuiviridae"
"5821","NC_027353.1","Tequatrovirus deeone","Tequatrovirus","Straboviridae"
"5822","NC_070683.1","Streptococcus phage CHPC979","Moineauvirus","Aliceevansviridae"
"5824","NC_041906.1","Gamaleyavirus EC1UPM","Gamaleyavirus","Schitoviridae"
"5825","NC_074370.1","Hohrdovirus pedovicinum","Hohrdovirus","Steitzviridae"
"5827","NC_079070.1","Cassava Torrado-like virus","Torradovirus","Secoviridae"
"5828","NC_047702.1","Pelagivirus S35C6","Pelagivirus","Autographiviridae"
"5829","NC_006560.1","Simplexvirus cercopithecinealpha2","Simplexvirus","Orthoherpesviridae"
"5832","NC_077973.1","Orthobunyavirus apeuense","Orthobunyavirus","Peribunyaviridae"
"5833","NC_004084.1","Myohalovirus phiCh1","Myohalovirus","Vertoviridae"
"5835","NC_076943.1","Anidravirus hangzhouense","Anidravirus","Lispiviridae"
"5836","NC_034473.1","Orthohantavirus fugongense","Orthohantavirus","Hantaviridae"
"5838","NC_038976.1","Euphorbia yellow leaf curl virus","Begomovirus","Geminiviridae"
"5839","NC_006638.1","Bracoviriform congregatae","Bracoviriform","Polydnaviriformidae"
"5840","NC_038738.1","Orthobunyavirus insulae","Orthobunyavirus","Peribunyaviridae"
"5841","NC_034495.1","Orthobunyavirus maritubaense","Orthobunyavirus","Peribunyaviridae"
"5843","NC_076260.1","Ephemerovirus puchong","Ephemerovirus","Rhabdoviridae"
"5844","NC_043360.1","Bracoviriform indiense","Bracoviriform","Polydnaviriformidae"
"5846","NC_038459.1","Sida golden mosaic Lara virus","Begomovirus","Geminiviridae"
"5848","NC_055297.1","Orthotospovirus alstroemerinecrosis","Orthotospovirus","Tospoviridae"
"5850","NC_055180.1","Orthotospovirus glycininecrovenae","Orthotospovirus","Tospoviridae"
"5851","NC_038869.1","Telnavirus tellinae","Telnavirus","Birnaviridae"
"5852","NC_048180.1","Berlinvirus A7","Berlinvirus","Autographiviridae"
"5854","NC_030651.1","Nylanderia fulva virus 1","Nyfulvavirus","Solinviviridae"
"5857","NC_006435.1","Hantavirus Z10","Orthohantavirus","Hantaviridae"
"5858","NC_038897.1","Tomato leaf curl Moheli virus","Begomovirus","Geminiviridae"
"5860","NC_076559.1","Triamitovirus rhso1","Triamitovirus","Mitoviridae"
"5861","NC_032136.1","Orthophasmavirus hubeiense","Orthophasmavirus","Phasmaviridae"
"5862","NC_026436.1","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae"
"5863","NC_075404.1","Orthoavulavirus javaense","Orthoavulavirus","Paramyxoviridae"
"5866","NC_024697.1","Kratosvirus quantuckense","Kratosvirus","Schizomimiviridae"
"5867","NC_043149.1","Iris mild mosaic virus","Potyvirus","Potyviridae"
"5868","NC_074225.1","Aphenovirus arvadaptatum","Aphenovirus","Steitzviridae"
"5870","NC_074181.1","Gifriavirus ruminicola","Gifriavirus","Blumeviridae"
"5875","NC_001641.1","Saccharomyces cerevisiae virus LBCLa","Totivirus","Totiviridae"
"5877","NC_038365.1","Mammarenavirus loeiense","Mammarenavirus","Arenaviridae"
"5880","NC_054940.1","Tequatrovirus jaykay","Tequatrovirus","Straboviridae"
"5883","NC_022564.1","Orthopteran miniambidensovirus 1","Miniambidensovirus","Parvoviridae"
"5884","NC_039019.1","Orthoavulavirus oneillense","Orthoavulavirus","Paramyxoviridae"
"5885","NC_028238.1","Turkeypox virus","Avipoxvirus","Poxviridae"
"5886","NC_075342.1","Chicken associated smacovirus","Huchismacovirus","Smacoviridae"
"5887","NC_077828.1","Orthobunyavirus thimiriense","Orthobunyavirus","Peribunyaviridae"
"5889","NC_055270.1","Rotavirus J","Rotavirus","Sedoreoviridae"
"5891","NC_001828.1","Tomato mottle Taino virus","Begomovirus","Geminiviridae"
"5892","NC_038262.1","Phasivirus phasiense","Phasivirus","Phenuiviridae"
"5894","NC_055373.1","Phlebovirus alcubeense","Phlebovirus","Phenuiviridae"
"5895","NC_015133.1","Avian orthoreovirus","Orthoreovirus","Spinareoviridae"
"5896","NC_014522.1","Great Island virus","Orbivirus","Sedoreoviridae"
"5898","NC_003566.1","Faba bean necrotic yellows virus","Nanovirus","Nanoviridae"
"5899","NC_010563.1","Mammarenavirus chapareense","Mammarenavirus","Arenaviridae"
"5901","NC_047812.1","Guelphvirus EC3a","Guelphvirus","Drexlerviridae"
"5902","NC_049848.1","Webervirus KP1801","Webervirus","Drexlerviridae"
"5903","NC_074252.1","Bahnicevirus geohabitans","Bahnicevirus","Steitzviridae"
"5904","NC_001906.3","Henipavirus hendraense","Henipavirus","Paramyxoviridae"
"5906","NC_005209.2","Beet pseudoyellows virus","Crinivirus","Closteroviridae"
"5907","NC_038812.1","Cardamom bushy dwarf virus","Babuvirus","Nanoviridae"
"5908","NC_010954.1","Fritillary virus Y","Potyvirus","Potyviridae"
"5910","NC_043344.1","Bracoviriform indiense","Bracoviriform","Polydnaviriformidae"
"5914","NC_020070.1","Betapolyomavirus ptedavyi","Betapolyomavirus","Polyomaviridae"
"5915","NC_008734.1","Mal de Rio Cuarto virus","Fijivirus","Spinareoviridae"
"5919","NC_037575.1","Maize rough dwarf virus","Fijivirus","Spinareoviridae"
"5921","NC_003009.1","Cypovirus 14","Cypovirus","Spinareoviridae"
"5922","NC_001873.1","Turnip vein-clearing virus","Tobamovirus","Virgaviridae"
"5924","NC_038823.1","Carrot cryptic virus","Alphapartitivirus","Partitiviridae"
"5925","NC_008890.1","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae"
"5926","NC_028267.1","Rhopapillomavirus 2","Rhopapillomavirus","Papillomaviridae"
"5930","NC_074214.1","Adahmuvirus asiocola","Adahmuvirus","Steitzviridae"
"5931","NC_076180.1","Betascleroulivirus pyriculariae","Betascleroulivirus","Botourmiaviridae"
"5933","NC_038831.1","Heterobasidion partitivirus 13","Alphapartitivirus","Partitiviridae"
"5938","NC_003010.1","Cypovirus 14","Cypovirus","Spinareoviridae"
"5939","NC_043066.1","Sigmavirus muscina","Sigmavirus","Rhabdoviridae"
"5941","NC_014397.1","Phlebovirus riftense","Phlebovirus","Phenuiviridae"
"5943","NC_015586.1","Stenotrophomonas phage phiSHP2","Siphunculivirus","Inoviridae"
"5944","NC_009816.1","Corynebacterium virus P1201","Chunghsingvirus","Zierdtviridae"
"5945","NC_030880.1","Fusarium poae alternavirus 1","Alternavirus","Alternaviridae"
"5946","NC_003839.2","Nepovirus lycopersici","Nepovirus","Secoviridae"
"5947","NC_078849.1","Emaravirus populi","Emaravirus","Fimoviridae"
"5949","NC_043327.1","Bracoviriform facetosae","Bracoviriform","Polydnaviriformidae"
"5950","NC_041914.1","Friunavirus AS12","Friunavirus","Autographiviridae"
"5951","NC_038652.1","Cypovirus 16","Cypovirus","Spinareoviridae"
"5952","NC_073853.1","Beshanovirus aquicola","Beshanovirus","Duinviridae"
"5953","NC_077818.1","Betachrysovirus botryosphaeriae","Betachrysovirus","Chrysoviridae"
"5954","NC_043486.1","Berhavirus sipunculi","Berhavirus","Nyamiviridae"
"5955","NC_047718.1","Nereusvirus tusconc4","Nereusvirus","Kyanoviridae"
"5956","NC_013758.1","Alphapleolipovirus HHPV1","Alphapleolipovirus","Pleolipoviridae"
"5957","NC_017940.1","Epizootic haematopoietic necrosis virus","Ranavirus","Iridoviridae"
"5959","NC_040702.1","Duamitovirus gima1","Duamitovirus","Mitoviridae"
"5961","NC_015327.1","Cotton leaf curl Lucknow alphasatellite","Colecusatellite","Alphasatellitidae"
"5963","NC_035218.1","Torradovirus cardiacae","Torradovirus","Secoviridae"
"5964","NC_018401.1","Gyrovirus homsa3","Gyrovirus","Anelloviridae"
"5966","NC_040443.1","Daphnis nerii cypovirus","Cypovirus","Spinareoviridae"
"5967","NC_027199.1","Bovine nidovirus 1","Bostovirus","Tobaniviridae"
"5969","NC_055794.1","Thalassavirus achelous","Thalassavirus","Demerecviridae"
"5970","NC_028895.1","Jesfedecavirus phi3","Jesfedecavirus","Demerecviridae"
"5971","NC_055592.1","Ocimum yellow vein virus","Begomovirus","Geminiviridae"
"5972","NC_078576.1","Hadakavirus nanga","Hadakavirus","Hadakaviridae"
"5973","NC_078592.1","Nepovirus cari","Nepovirus","Secoviridae"
"5974","NC_049934.1","Copernicusvirus Ef72","Copernicusvirus","Rountreeviridae"
"5975","NC_074309.1","Gredihovirus neoagricola","Gredihovirus","Steitzviridae"
"5976","NC_004994.2","Enzootic nasal tumour virus of goats","Betaretrovirus","Retroviridae"
"5977","NC_003570.1","Elm mottle virus","Ilarvirus","Bromoviridae"
"5980","NC_033775.1","Noumeavirus","Marseillevirus","Marseilleviridae"
"5983","NC_021147.1","Dill cryptic virus 2","Betapartitivirus","Partitiviridae"
"5985","NC_014082.1","Betatorquevirus homini7","Betatorquevirus","Anelloviridae"
"5986","NC_034458.1","Herbevirus kibaleense","Herbevirus","Peribunyaviridae"
"5988","NC_027922.1","White sucker hepatitis B virus","Parahepadnavirus","Hepadnaviridae"
"5990","NC_055940.1","Orthonairovirus sakhalinense","Orthonairovirus","Nairoviridae"
"5991","NC_076995.1","Canine bocavirus 3","Bocaparvovirus","Parvoviridae"
"5992","NC_077185.1","Chifec virus UA13_1727","Cyclovirus","Circoviridae"
"5993","NC_043147.1","Diuris virus Y","Potyvirus","Potyviridae"
"5995","NC_055166.1","Varicellovirus monodontidalpha1","Varicellovirus","Orthoherpesviridae"
"6000","NC_055918.1","Bronvirus ohshaghennessy","Bronvirus","Vilmaviridae"
"6001","NC_076248.1","Gemycircularvirus oltre1","Gemycircularvirus","Genomoviridae"
"6002","NC_029560.1","Emaravirus idaeobati","Emaravirus","Fimoviridae"
"6003","NC_009884.1","Acidianus filamentous virus 2","Deltalipothrixvirus","Lipothrixviridae"
"6004","NC_009545.1","Spilanthes yellow vein virus","Begomovirus","Geminiviridae"
"6006","NC_014710.1","Southern rice black-streaked dwarf virus","Fijivirus","Spinareoviridae"
"6008","NC_074113.1","Teciucevirus pelohabitans","Teciucevirus","Fiersviridae"
"6009","NC_055594.1","Bean bushy stunt virus","Begomovirus","Geminiviridae"
"6010","NC_055168.1","Jeilongvirus myodesis","Jeilongvirus","Paramyxoviridae"
"6011","NC_062749.1","Ingelinevirus ingeline","Ingelinevirus","Duneviridae"
"6014","NC_027135.1","Mammarenavirus okahandjaense","Mammarenavirus","Arenaviridae"
"6015","NC_004362.1","Prunus necrotic ringspot virus","Ilarvirus","Bromoviridae"
"6017","NC_033790.1","Orbivirus SX-2017a","Orbivirus","Sedoreoviridae"
"6018","NC_052978.1","Cenphatecvirus saba","Cenphatecvirus","Casjensviridae"
"6020","NC_047871.1","Pecentumvirus LMSP25","Pecentumvirus","Herelleviridae"
"6021","NC_019423.1","Gamaleyavirus IME11","Gamaleyavirus","Schitoviridae"
"6022","NC_024301.1","Badnavirus tessellostyphnolobii","Badnavirus","Caulimoviridae"
"6023","NC_078143.1","Orthonairovirus gossasense","Orthonairovirus","Nairoviridae"
"6024","NC_036605.1","Uukuvirus kabutoense","Uukuvirus","Phenuiviridae"
"6025","NC_078218.1","Subterranean clover stunt virus","Nanovirus","Nanoviridae"
"6026","NC_074048.1","Palsdevirus asienecus","Palsdevirus","Fiersviridae"
"6028","NC_011182.1","Okra mottle virus","Begomovirus","Geminiviridae"
"6029","NC_022894.1","Donkey orchid symptomless virus","Platypuvirus","Alphaflexiviridae"
"6032","NC_028987.2","Friunavirus IME200","Friunavirus","Autographiviridae"
"6033","NC_055548.1","Sida yellow golden mosaic virus","Begomovirus","Geminiviridae"
"6034","NC_006275.1","White clover cryptic virus 1","Alphapartitivirus","Partitiviridae"
"6035","NC_024296.1","Orthobornavirus serini","Orthobornavirus","Bornaviridae"
"6036","NC_076150.1","Tomato leaf curl Togo betasatellite-[Togo:2006]","Betasatellite","Tolecusatellitidae"
"6037","NC_043587.1","Orthobunyavirus ileshaense","Orthobunyavirus","Peribunyaviridae"
"6038","NC_043369.1","Idnoreovirus 1","Idnoreovirus","Spinareoviridae"
"6040","NC_000882.1","Pepper leaf curl virus","Begomovirus","Geminiviridae"
"6041","NC_053509.1","Faithunavirus tourach","Faithunavirus","Vilmaviridae"
"6042","NC_076920.1","Xenophyvirus mathesonense","Xenophyvirus","Lispiviridae"
"6043","NC_028266.1","Mivirus wuhanense","Mivirus","Chuviridae"
"6045","NC_010294.1","Rhynchosia golden mosaic virus","Begomovirus","Geminiviridae"
"6046","NC_012534.1","Orthoflavivirus bagazaense","Orthoflavivirus","Flaviviridae"
"6047","NC_002359.1","Chinese wheat mosaic virus","Furovirus","Virgaviridae"
"6049","NC_031114.1","Teseptimavirus tv64795ec1","Teseptimavirus","Autographiviridae"
"6050","NC_041996.1","Winklervirus chi14","Winklervirus","Straboviridae"
"6053","NC_028847.1","Dhakavirus ql01","Dhakavirus","Straboviridae"
"6057","NC_038540.1","Erythroparvovirus primate2","Erythroparvovirus","Parvoviridae"
"6058","NC_040566.1","Alphapolyomavirus tuglis","Alphapolyomavirus","Polyomaviridae"
"6059","NC_055108.1","Poecivirus A","Poecivirus","Picornaviridae"
"6060","NC_048852.1","Tequintavirus L6jm","Tequintavirus","Demerecviridae"
"6063","NC_003623.1","Nepovirus foliumflabelli","Nepovirus","Secoviridae"
"6064","NC_038619.1","Warrego virus","Orbivirus","Sedoreoviridae"
"6065","NC_024140.1","Litunavirus Ab09","Litunavirus","Schitoviridae"
"6066","NC_038550.1","Paramecium bursaria Chlorella virus IL3A","Chlorovirus","Phycodnaviridae"
"6068","NC_006308.2","Gammainfluenzavirus influenzae","Gammainfluenzavirus","Orthomyxoviridae"
"6070","NC_043668.1","Alphachrysovirus colletotrichi","Alphachrysovirus","Chrysoviridae"
"6071","NC_075410.1","Tomato leaf curl Arusha virus","Begomovirus","Geminiviridae"
"6072","NC_047758.1","Kotilavirus PPWS1","Kotilavirus","Autographiviridae"
"6074","NC_074136.1","Wohudhevirus asienecus","Wohudhevirus","Fiersviridae"
"6075","NC_004195.1","Epsilonpapillomavirus 1","Epsilonpapillomavirus","Papillomaviridae"
"6076","NC_003031.1","Badnavirus gammasacchari","Badnavirus","Caulimoviridae"
"6077","NC_005976.2","Penicillium stoloniferum virus S","Gammapartitivirus","Partitiviridae"
"6078","NC_015523.1","Asclepias asymptomatic virus","Tymovirus","Tymoviridae"
"6080","NC_028940.1","Mosugukvirus pm2","Mosugukvirus","Straboviridae"
"6081","NC_076733.1","Triamitovirus rhso39","Triamitovirus","Mitoviridae"
"6082","NC_076509.1","Varicellovirus caprinealpha1","Varicellovirus","Orthoherpesviridae"
"6083","NC_010838.1","Blainvillea yellow spot virus","Begomovirus","Geminiviridae"
"6084","NC_002642.1","Tanapox virus","Yatapoxvirus","Poxviridae"
"6085","NC_029128.1","Phlebovirus adanaense","Phlebovirus","Phenuiviridae"
"6086","NC_009899.1","Paramecium bursaria Chlorella virus AR158","Chlorovirus","Phycodnaviridae"
"6088","NC_038668.1","Harvey murine sarcoma virus","Gammaretrovirus","Retroviridae"
"6090","NC_076720.1","Cetarhavirus phocoena","Cetarhavirus","Rhabdoviridae"
"6091","NC_008977.1","Ichnoviriform fugitivi","Ichnoviriform","Polydnaviriformidae"
"6092","NC_042038.1","Rogunavirus KP26","Rogunavirus","Drexlerviridae"
"6093","NC_078462.1","Heterobasidion orthocurvulavirus","Orthocurvulavirus","Curvulaviridae"
"6094","NC_038949.1","Wound tumor virus","Phytoreovirus","Sedoreoviridae"
"6095","NC_073824.1","Psoetuvirus pedenecus","Psoetuvirus","Atkinsviridae"
"6096","NC_074275.1","Berdovirus luticola","Berdovirus","Steitzviridae"
"6097","NC_074560.1","Betatectivirus sato","Betatectivirus","Tectiviridae"
"6098","NC_039022.1","Puma feline foamy virus","Felispumavirus","Retroviridae"
"6100","NC_047714.1","Atlauavirus caeruleum","Atlauavirus","Kyanoviridae"
"6101","NC_028795.1","Teetrevirus E3","Teetrevirus","Autographiviridae"
"6102","NC_078412.1","Emaravirus camelliae","Emaravirus","Fimoviridae"
"6103","NC_038319.1","Parechovirus A","Parechovirus","Picornaviridae"
"6106","NC_055509.1","Sripuvirus cuiaba","Sripuvirus","Rhabdoviridae"
"6107","NC_003466.1","Orthohantavirus andesense","Orthohantavirus","Hantaviridae"
"6108","NC_038011.1","Magnaporthe oryzae chrysovirus 1","Chrysovirus","Chrysoviridae"
"6109","NC_021588.1","Rotavirus G","Rotavirus","Sedoreoviridae"
"6113","NC_048709.1","Campanilevirus YC","Campanilevirus","Ackermannviridae"
"6114","NC_076209.1","Penicillimonavirus kilnbarnense","Penicillimonavirus","Mymonaviridae"
"6115","NC_077980.1","Orthobunyavirus maritubaense","Orthobunyavirus","Peribunyaviridae"
"6116","NC_049443.1","Kuttervirus SeSz1","Kuttervirus","Ackermannviridae"
"6118","NC_004014.1","Sorghum chlorotic spot virus","Furovirus","Virgaviridae"
"6119","NC_043118.1","Orthoflavivirus perlitaense","Orthoflavivirus","Flaviviridae"
"6120","NC_038434.1","Pegivirus carolliae","Pegivirus","Flaviviridae"
"6121","NC_006641.1","Bracoviriform congregatae","Bracoviriform","Polydnaviriformidae"
"6122","NC_017088.1","Betapleolipovirus HRPV3","Betapleolipovirus","Pleolipoviridae"
"6123","NC_075109.1","Pepper yellow leaf curl Thailand virus","Begomovirus","Geminiviridae"
"6125","NC_014509.2","Velvet tobacco mottle virus","Sobemovirus","Solemoviridae"
"6126","NC_014512.1","Rotavirus D","Rotavirus","Sedoreoviridae"
"6127","NC_078524.1","Mykissvirus tructae","Mykissvirus","Orthomyxoviridae"
"6128","NC_022920.1","Kayvirus S253","Kayvirus","Herelleviridae"
"6130","NC_016752.1","Artiparvovirus chiropteran1","Artiparvovirus","Parvoviridae"
"6131","NC_076770.1","Betascleroulivirus zetaplasmoparae","Betascleroulivirus","Botourmiaviridae"
"6132","NC_015882.1","Baboon orthoreovirus","Orthoreovirus","Spinareoviridae"
"6134","NC_076734.1","Thamnovirus percae","Thamnovirus","Filoviridae"
"6136","NC_039037.1","Dyokappapapillomavirus 5","Dyokappapapillomavirus","Papillomaviridae"
"6139","NC_043577.1","Orthobunyavirus jatobalense","Orthobunyavirus","Peribunyaviridae"
"6140","NC_015492.1","Nepovirus bulgariense","Nepovirus","Secoviridae"
"6141","NC_028365.1","Hepatovirus H","Hepatovirus","Picornaviridae"
"6142","NC_022624.1","Mobuck virus","Orbivirus","Sedoreoviridae"
"6143","NC_038320.1","Sequivirus carotae","Sequivirus","Secoviridae"
"6146","NC_003787.1","Cheravirus mali","Cheravirus","Secoviridae"
"6147","NC_011804.1","Cotton leaf curl Multan virus","Begomovirus","Geminiviridae"
"6148","NC_002023.1","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae"
"6149","NC_077037.1","Macaca fascicularis chapparvovirus","Chapparvovirus","Parvoviridae"
"6150","NC_029045.1","Chivirus cv37","Chivirus","Casjensviridae"
"6151","NC_073874.1","Behlfluvirus lutadaptatum","Behlfluvirus","Fiersviridae"
"6152","NC_043058.1","Lymphocryptovirus papiinegamma1","Lymphocryptovirus","Orthoherpesviridae"
"6154","NC_074645.1","Tonitrusvirus shimokitaense","Tonitrusvirus","Verdandiviridae"
"6158","NC_043569.1","Orthobunyavirus iacoense","Orthobunyavirus","Peribunyaviridae"
"6163","NC_078060.1","Phlebovirus florisense","Phlebovirus","Phenuiviridae"
"6164","NC_076483.1","Aleptorquevirus lepor1","Aleptorquevirus","Anelloviridae"
"6165","NC_031295.1","Phasivirus wuhanense","Phasivirus","Phenuiviridae"
"6166","NC_044938.1","Ascovirus TnAV2a","Ascovirus","Ascoviridae"
"6168","NC_033780.2","Betabaculovirus altermyunipunctae","Betabaculovirus","Baculoviridae"
"6169","NC_047984.1","Berlinvirus S523","Berlinvirus","Autographiviridae"
"6170","NC_077099.1","Duck-associated chapparvovirus 2","Chapparvovirus","Parvoviridae"
"6171","NC_078584.1","Thogotovirus bourbonense","Thogotovirus","Orthomyxoviridae"
"6172","NC_049389.1","Peduovirus P24E6b","Peduovirus","Peduoviridae"
"6174","NC_076125.1","Siegesbeckia yellow vein virus-associated DNA beta","Betasatellite","Tolecusatellitidae"
"6175","NC_073884.1","Boloprevirus borboradaptatum","Boloprevirus","Fiersviridae"
"6176","NC_008914.1","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae"
"6177","NC_001859.1","Enterovirus E","Enterovirus","Picornaviridae"
