"","Accession","Species","Genus","Family"
"487","NC_038860.1","Lymphocryptovirus ponginegamma2","Lymphocryptovirus","Orthoherpesviridae"
"488","NC_028145.1","Rice necrosis mosaic virus","Bymovirus","Potyviridae"
"489","NC_078368.1","Emaravirus perillae","Emaravirus","Fimoviridae"
"490","NC_062737.1","Xylivirus XacF13","Xylivirus","Inoviridae"
"491","NC_008964.1","Ichnoviriform fugitivi","Ichnoviriform","Polydnaviriformidae"
"494","NC_034531.1","Hapavirus manitoba","Hapavirus","Rhabdoviridae"
"495","NC_038326.1","Grapevine virus D","Vitivirus","Betaflexiviridae"
"496","NC_016082.1","Sida yellow mottle virus","Begomovirus","Geminiviridae"
"497","NC_003470.1","Atkinsonella hypoxylon virus","Betapartitivirus","Partitiviridae"
"498","NC_040325.1","Cyclovirus mchwa","Cyclovirus","Circoviridae"
"502","NC_013772.1","Betabaculovirus myunipunctae","Betabaculovirus","Baculoviridae"
"503","NC_076819.1","Penoulivirus iotaplasmoparae","Penoulivirus","Botourmiaviridae"
"504","NC_076244.1","Green Sichuan pepper nucleorhabdovirus","Nucleorhabdovirus","Rhabdoviridae"
"505","NC_055342.1","Phlebovirus maldonadoense","Phlebovirus","Phenuiviridae"
"506","NC_038808.1","Cardamom bushy dwarf virus","Babuvirus","Nanoviridae"
"507","NC_078978.1","Orthobunyavirus acaraense","Orthobunyavirus","Peribunyaviridae"
"508","NC_029054.2","Orthoflavivirus saboyaense","Orthoflavivirus","Flaviviridae"
"511","NC_078229.1","Orthobunyavirus oyoense","Orthobunyavirus","Peribunyaviridae"
"512","NC_077926.1","Orthobunyavirus ananindeuaense","Orthobunyavirus","Peribunyaviridae"
"514","NC_008882.1","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae"
"517","NC_076470.1","Gemycircularvirus citas1","Gemycircularvirus","Genomoviridae"
"521","NC_034390.1","Black currant leaf chlorosis associated virus","Idaeovirus","Mayoviridae"
"523","NC_076404.1","Marsupivirus A","Marsupivirus","Picornaviridae"
"524","NC_040489.1","Betachrysovirus colletotrichi","Betachrysovirus","Chrysoviridae"
"525","NC_028113.1","Simian mastadenovirus B","Mastadenovirus","Adenoviridae"
"526","NC_048030.1","Jalkavirus S08C159","Jalkavirus","Autographiviridae"
"528","NC_055783.1","Dhakavirus ecom005","Dhakavirus","Straboviridae"
"530","NC_018613.1","Rhizosolenia setigera RNA virus 01","Bacillarnavirus","Marnaviridae"
"531","NC_038950.1","Wound tumor virus","Phytoreovirus","Sedoreoviridae"
"532","NC_038985.1","Velvet bean golden mosaic virus","Begomovirus","Geminiviridae"
"533","NC_013106.1","European mountain ash ringspot-associated virus","Emaravirus","Fimoviridae"
"534","NC_011501.2","Rotavirus A","Rotavirus","Sedoreoviridae"
"535","NC_076846.1","Alphahypovirus botrytidis","Alphahypovirus","Hypoviridae"
"536","NC_077928.1","Orthobunyavirus bertiogaense","Orthobunyavirus","Peribunyaviridae"
"537","NC_048752.1","Tybeckvirus tv521B","Tybeckvirus","Herelleviridae"
"538","NC_073807.1","Lobdovirus arvenecus","Lobdovirus","Atkinsviridae"
"539","NC_038953.1","Banana bunchy top alphasatellite 2","Muscarsatellite","Alphasatellitidae"
"540","NC_074374.1","Hohrdovirus solicola","Hohrdovirus","Steitzviridae"
"541","NC_038348.1","Deltatorquevirus tupai1","Deltatorquevirus","Anelloviridae"
"542","NC_017678.1","Chili leaf curl Jaunpur betasatellite","Betasatellite","Tolecusatellitidae"
"543","NC_073917.1","Condavirus arvicola","Condavirus","Fiersviridae"
"544","NC_047908.1","Przondovirus SHKp152410","Przondovirus","Autographiviridae"
"545","NC_076428.1","Capsicum India alphasatellite","Clecrusatellite","Alphasatellitidae"
"546","NC_030448.1","Gemykibivirus humas5","Gemykibivirus","Genomoviridae"
"547","NC_049827.1","Hanrivervirus damhaus","Hanrivervirus","Drexlerviridae"
"549","NC_008923.1","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae"
"551","NC_078435.1","Laulavirus alphaviticulum","Laulavirus","Phenuiviridae"
"552","NC_035196.1","Giant panda circovirus 4","Circovirus","Circoviridae"
"553","NC_001553.1","Tomato apical stunt viroid","Pospiviroid","Pospiviroidae"
"556","NC_043365.1","Choristoneura fumiferana entomopoxvirus","Betaentomopoxvirus","Poxviridae"
"557","NC_047744.1","Agatevirus Bp8pC","Agatevirus","Herelleviridae"
"558","NC_013019.1","Sunn hemp leaf distortion virus","Begomovirus","Geminiviridae"
"560","NC_038360.1","Gammatorquevirus homidi13","Gammatorquevirus","Anelloviridae"
"561","NC_075436.1","Maize striate mosaic virus","Mastrevirus","Geminiviridae"
"562","NC_078087.1","Entomobirnavirus anophelae","Entomobirnavirus","Birnaviridae"
"564","NC_040800.1","Actinidia seed borne latent virus","Prunevirus","Betaflexiviridae"
"565","NC_048036.1","Maculvirus KF2","Maculvirus","Autographiviridae"
"568","NC_010246.1","Magnaporthe oryzae virus 2","Victorivirus","Totiviridae"
"569","NC_030296.1","Diciambidensovirus hemipteran1","Diciambidensovirus","Parvoviridae"
"572","NC_008552.1","Nerine latent virus","Carlavirus","Betaflexiviridae"
"573","NC_001662.1","Amdoparvovirus carnivoran1","Amdoparvovirus","Parvoviridae"
"576","NC_001990.1","Nudaurelia capensis beta virus","Betatetravirus","Alphatetraviridae"
"577","NC_055347.1","Phlebovirus duraniaense","Phlebovirus","Phenuiviridae"
"578","NC_001413.1","Bovine immunodeficiency virus","Lentivirus","Retroviridae"
"581","NC_040424.1","Penicillium digitatum polymycovirus 1","Polymycovirus","Polymycoviridae"
"582","NC_073821.1","Pihngevirus chorocola","Pihngevirus","Atkinsviridae"
"583","NC_038929.1","Beauveria bassiana victorivirus 1","Victorivirus","Totiviridae"
"584","NC_034518.1","Orthohantavirus khabarovskense","Orthohantavirus","Hantaviridae"
"586","NC_040650.1","Pleione flower breaking virus","Potyvirus","Potyviridae"
"587","NC_038963.1","Tomato latent virus","Begomovirus","Geminiviridae"
"588","NC_005340.1","Eganvirus PsP3","Eganvirus","Peduoviridae"
"591","NC_078660.1","Orthophasmavirus miglotasense","Orthophasmavirus","Phasmaviridae"
"592","NC_055532.1","Barhavirus muir","Barhavirus","Rhabdoviridae"
"594","NC_009996.1","Rhinovirus C","Enterovirus","Picornaviridae"
"595","NC_014080.1","Alphatorquevirus homin7","Alphatorquevirus","Anelloviridae"
"596","NC_043291.1","Bracoviriform glomeratae","Bracoviriform","Polydnaviriformidae"
"597","NC_031025.1","Drulisvirus KpV475","Drulisvirus","Autographiviridae"
"599","NC_008035.3","Alphabaculovirus anpernyi","Alphabaculovirus","Baculoviridae"
"600","NC_003821.3","Betacarmovirus brassicae","Betacarmovirus","Tombusviridae"
"601","NC_078595.1","Comovirus capsici","Comovirus","Secoviridae"
"602","NC_076143.1","Rhizoctonia magoulivirus 1","Magoulivirus","Botourmiaviridae"
"603","NC_074624.1","Gredihovirus neochorocola","Gredihovirus","Steitzviridae"
"606","NC_055738.1","Gruunavirus flapper","Gruunavirus","Zierdtviridae"
"607","NC_038288.1","Orthotospovirus citrullonecrosis","Orthotospovirus","Tospoviridae"
"611","NC_034512.1","Orthonairovirus qalyubense","Orthonairovirus","Nairoviridae"
"613","NC_048034.1","Powvirus S08C41","Powvirus","Autographiviridae"
"614","NC_040598.1","Alphapolyomavirus suis","Alphapolyomavirus","Polyomaviridae"
"616","NC_076613.1","Alphahypovirus japonicum","Alphahypovirus","Hypoviridae"
"617","NC_006879.1","Human mastadenovirus G","Mastadenovirus","Adenoviridae"
"618","NC_076586.1","Siniperhavirus zoarces","Siniperhavirus","Rhabdoviridae"
"620","NC_074576.1","Ferahgovirus geoadaptatum","Ferahgovirus","Steitzviridae"
"621","NC_011507.2","Rotavirus A","Rotavirus","Sedoreoviridae"
"622","NC_074098.1","Sholavirus caenivivens","Sholavirus","Fiersviridae"
"623","NC_030749.1","Malvastrum yellow vein Honghe virus","Begomovirus","Geminiviridae"
"625","NC_034553.1","Orthohantavirus maporalense","Orthohantavirus","Hantaviridae"
"626","NC_077142.1","Mongoose-associated cyclovirus","Cyclovirus","Circoviridae"
"628","NC_007374.1","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae"
"630","NC_055396.1","Phlebovirus gloriaense","Phlebovirus","Phenuiviridae"
"632","NC_000869.1","Tomato yellow leaf curl Thailand virus","Begomovirus","Geminiviridae"
"634","NC_031214.1","Ollusvirus shayangense","Ollusvirus","Aliusviridae"
"635","NC_038484.1","Gemycircularvirus ptero1","Gemycircularvirus","Genomoviridae"
"636","NC_070674.1","Streptococcus phage CHPC875","Moineauvirus","Aliceevansviridae"
"638","NC_022128.1","Ageratum latent virus","Ilarvirus","Bromoviridae"
"641","NC_077970.1","Orthobunyavirus bunyamweraense","Orthobunyavirus","Peribunyaviridae"
"642","NC_044949.1","African swine fever virus","Asfivirus","Asfarviridae"
"645","NC_039076.1","Tomato necrotic streak virus","Ilarvirus","Bromoviridae"
"646","NC_021536.1","Tefnutvirus siom18","Tefnutvirus","Kyanoviridae"
"647","NC_029915.1","Mahlapitsi orthoreovirus","Orthoreovirus","Spinareoviridae"
"648","NC_038518.1","Dyopsipapillomavirus 1","Dyopsipapillomavirus","Papillomaviridae"
"650","NC_003692.1","Pariacoto virus","Alphanodavirus","Nodaviridae"
"651","NC_043073.1","Orthohantavirus nigrorivense","Orthohantavirus","Hantaviridae"
"652","NC_078685.1","Stralarivirus lychnis","Stralarivirus","Secoviridae"
"653","NC_015585.1","Waewaevirus limezero","Waewaevirus","Autographiviridae"
"654","NC_031955.1","Lyssavirus lleida","Lyssavirus","Rhabdoviridae"
"655","NC_026810.1","Gemycircularvirus monas1","Gemycircularvirus","Genomoviridae"
"656","NC_047833.1","Eganvirus EtG","Eganvirus","Peduoviridae"
"659","NC_038901.1","Tomato leaf curl Toliara virus","Begomovirus","Geminiviridae"
"661","NC_077808.1","Orthobunyavirus lacrosseense","Orthobunyavirus","Peribunyaviridae"
"662","NC_043233.1","Paramecium bursaria Chlorella virus NC1A","Chlorovirus","Phycodnaviridae"
"664","NC_001478.1","Digitaria streak virus","Mastrevirus","Geminiviridae"
"666","NC_027140.1","Bandavirus bhanjanagarense","Bandavirus","Phenuiviridae"
"667","NC_021568.1","Cyclovirus munthu","Cyclovirus","Circoviridae"
"668","NC_055562.1","Badnavirus tessellopolysciatis","Badnavirus","Caulimoviridae"
"671","NC_055625.1","Betachrysovirus coniothyrii","Betachrysovirus","Chrysoviridae"
"673","NC_004646.1","Squash mild leaf curl virus","Begomovirus","Geminiviridae"
"674","NC_076350.1","Gemycircularvirus austro1","Gemycircularvirus","Genomoviridae"
"675","NC_011509.2","Rotavirus A","Rotavirus","Sedoreoviridae"
"677","NC_055305.1","Phlebovirus oriximinaense","Phlebovirus","Phenuiviridae"
"681","NC_013099.1","Faba bean necrotic stunt virus","Nanovirus","Nanoviridae"
"683","NC_048086.1","Novosibvirus stubb","Novosibvirus","Demerecviridae"
"685","NC_040789.1","Alphanudivirus alterdromelanogasteris","Alphanudivirus","Nudiviridae"
"686","NC_048130.1","Przondovirus KN41","Przondovirus","Autographiviridae"
"687","NC_067214.1","Buchavirus oralis","Buchavirus","Suoliviridae"
"688","NC_040563.1","Rhizoctonia mitovirus 1","Mitovirus","Mitoviridae"
"689","NC_015285.1","Brizovirus syn33","Brizovirus","Kyanoviridae"
"692","NC_011086.1","Diascia yellow mottle virus","Tymovirus","Tymoviridae"
"694","NC_078150.1","Orthonairovirus abuminaense","Orthonairovirus","Nairoviridae"
"695","NC_038499.1","Gemykibivirus rhina1","Gemykibivirus","Genomoviridae"
"696","NC_032405.1","Bermuda grass latent virus","Panicovirus","Tombusviridae"
"697","NC_047853.1","Kochikohdavirus EF24C","Kochikohdavirus","Herelleviridae"
"698","NC_038496.1","Gemykibivirus humas3","Gemykibivirus","Genomoviridae"
"699","NC_052230.1","Dichorhavirus leprosis","Dichorhavirus","Rhabdoviridae"
"701","NC_036877.1","Cyclovirus insaan","Cyclovirus","Circoviridae"
"703","NC_040363.1","Farfantepenaeus duorarum circovirus","Circovirus","Circoviridae"
"704","NC_038813.1","Cardamom bushy dwarf virus","Babuvirus","Nanoviridae"
"706","NC_026429.1","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae"
"708","NC_040439.1","Chicken picobirnavirus","Picobirnavirus","Picobirnaviridae"
"709","NC_006876.1","Tomato leaf curl Mayotte virus","Begomovirus","Geminiviridae"
"710","NC_038274.1","Orthohantavirus asamaense","Orthohantavirus","Hantaviridae"
"711","NC_015718.1","Iteradensovirus lepidopteran5","Iteradensovirus","Parvoviridae"
"712","NC_015488.1","Rhynchosia mild mosaic virus","Begomovirus","Geminiviridae"
"713","NC_038777.1","Lilac ring mottle virus","Ilarvirus","Bromoviridae"
"714","NC_040632.1","Gigaspora margarita giardia-like virus 1","Giardiavirus","Totiviridae"
"715","NC_022750.1","Peduovirus fiAA91ss","Peduovirus","Peduoviridae"
"716","NC_027545.1","Wad Medani virus","Orbivirus","Sedoreoviridae"
"717","NC_018864.1","Tomato leaf curl Yemen betasatellite","Betasatellite","Tolecusatellitidae"
"718","NC_025806.1","Pteropine orthoreovirus","Orthoreovirus","Spinareoviridae"
"719","NC_078606.1","Sardinovirus pilchardi","Sardinovirus","Orthomyxoviridae"
"722","NC_043288.1","Bracoviriform glomeratae","Bracoviriform","Polydnaviriformidae"
"724","NC_075438.1","Scoliodonvirus scoliodontis","Scoliodonvirus","Paramyxoviridae"
"725","NC_028962.1","Sepunavirus IPLAC1C","Sepunavirus","Herelleviridae"
"727","NC_006011.1","African horse sickness virus","Orbivirus","Sedoreoviridae"
"730","NC_043452.1","Bandavirus dabieense","Bandavirus","Phenuiviridae"
"732","NC_074220.1","Alehxovirus asiovicinum","Alehxovirus","Steitzviridae"
"733","NC_014395.1","Phlebovirus riftense","Phlebovirus","Phenuiviridae"
"735","NC_044947.1","African swine fever virus","Asfivirus","Asfarviridae"
"737","NC_004185.1","Colorado tick fever coltivirus","Coltivirus","Spinareoviridae"
"739","NC_052685.1","Quaranjavirus chadense","Quaranjavirus","Orthomyxoviridae"
"741","NC_077193.1","Artemisia capillaris nucleorhabdovirus 1","Alphanucleorhabdovirus","Rhabdoviridae"
"742","NC_026809.1","Gemykibivirus humas3","Gemykibivirus","Genomoviridae"
"743","NC_078374.1","Emaravirus parkinsoniae","Emaravirus","Fimoviridae"
"744","NC_074167.1","Puirovirus lutenecus","Puirovirus","Solspiviridae"
"746","NC_028840.1","Tequintavirus slur09","Tequintavirus","Demerecviridae"
"747","NC_003882.1","Coleus blumei viroid","Coleviroid","Pospiviroidae"
"748","NC_001669.1","Betapolyomavirus macacae","Betapolyomavirus","Polyomaviridae"
"749","NC_029920.1","Mahlapitsi orthoreovirus","Orthoreovirus","Spinareoviridae"
"751","NC_007346.1","Emiliania huxleyi virus 86","Coccolithovirus","Phycodnaviridae"
"752","NC_070653.1","Streptococcus phage 73","Moineauvirus","Aliceevansviridae"
"754","NC_073939.1","Dosmizivirus solihabitans","Dosmizivirus","Fiersviridae"
"757","NC_010586.1","Aquareovirus G","Aquareovirus","Spinareoviridae"
"758","NC_077047.1","Kenyan potato cytorhabdovirus","Cytorhabdovirus","Rhabdoviridae"
"760","NC_040750.1","Cow vetch latent virus","Nanovirus","Nanoviridae"
"761","NC_049840.1","Webervirus FZ10","Webervirus","Drexlerviridae"
"763","NC_007543.1","Rotavirus C","Rotavirus","Sedoreoviridae"
"766","NC_010947.1","Allamanda leaf curl virus","Begomovirus","Geminiviridae"
"768","NC_018478.1","Orthobunyavirus simbuense","Orthobunyavirus","Peribunyaviridae"
"770","NC_007569.1","Rotavirus C","Rotavirus","Sedoreoviridae"
"771","NC_016764.1","Bifseptvirus Bf7","Bifseptvirus","Autographiviridae"
"774","NC_039082.1","Euphorbia mosaic Peru virus","Begomovirus","Geminiviridae"
"775","NC_033618.1","Pea leaf distortion betasatellite","Betasatellite","Tolecusatellitidae"
"776","NC_040699.1","Alphanudivirus droinnubilae","Alphanudivirus","Nudiviridae"
"778","NC_076261.1","Ephemerovirus hayes","Ephemerovirus","Rhabdoviridae"
"779","NC_001944.1","Circovirus parrot","Circovirus","Circoviridae"
"780","NC_032222.1","Hubei chipolycivirus","Chipolycivirus","Polycipiviridae"
"781","NC_009562.1","Alternanthera yellow vein betasatellite","Betasatellite","Tolecusatellitidae"
"782","NC_049431.1","Dorisvirus 49B3","Dorisvirus","Schitoviridae"
"784","NC_074265.1","Bahnicevirus solivivens","Bahnicevirus","Steitzviridae"
"785","NC_010356.1","Glossinavirus glopallidipedis","Glossinavirus","Hytrosaviridae"
"786","NC_024908.1","Xitorquevirus molos1","Xitorquevirus","Anelloviridae"
"788","NC_076393.1","Penicillimonavirus betapenicillii","Penicillimonavirus","Mymonaviridae"
"789","NC_033841.1","Phlebovirus urucuriense","Phlebovirus","Phenuiviridae"
"790","NC_031455.1","Sida chlorotic vein virus","Begomovirus","Geminiviridae"
"791","NC_022563.1","Squirrelpox virus","Sciuripoxvirus","Poxviridae"
"792","NC_047858.1","Acadevirus PM116","Acadevirus","Autographiviridae"
"793","NC_078463.1","Rhizoctonia solani orthocurvulavirus 1","Orthocurvulavirus","Curvulaviridae"
"794","NC_077151.1","Cnidium virus 1","Nucleorhabdovirus","Rhabdoviridae"
"797","NC_048135.1","Kayfunavirus EcpYZU01","Kayfunavirus","Autographiviridae"
"799","NC_027715.1","Bandavirus albatrossense","Bandavirus","Phenuiviridae"
"801","NC_040726.1","Rhizophagus diaphanum mitovirus 2","Mitovirus","Mitoviridae"
"804","NC_038952.1","Wound tumor virus","Phytoreovirus","Sedoreoviridae"
"805","NC_040694.1","Rhinolophus pusillus bocaparvovirus 2","Bocaparvovirus","Parvoviridae"
"806","NC_028702.1","Piedvirus IMEDE1","Piedvirus","Autographiviridae"
"809","NC_001634.1","Soymovirus virgarachidis","Soymovirus","Caulimoviridae"
"810","NC_031292.1","Wenrivirus penaei","Wenrivirus","Phenuiviridae"
"811","NC_038653.1","Oat sterile dwarf virus","Fijivirus","Spinareoviridae"
"812","NC_006647.1","Bracoviriform congregatae","Bracoviriform","Polydnaviriformidae"
"814","NC_076337.1","Etatorquevirus felid3","Etatorquevirus","Anelloviridae"
"815","NC_040401.1","Blunervirus camelliae","Blunervirus","Kitaviridae"
"816","NC_078270.1","Orthobunyavirus trinitiense","Orthobunyavirus","Peribunyaviridae"
"818","NC_031015.2","Claudivirus claudi","Claudivirus","Salasmaviridae"
"819","NC_078023.1","Pistacia emaravirus","Emaravirus","Fimoviridae"
"822","NC_021543.1","Rotavirus B","Rotavirus","Sedoreoviridae"
"824","NC_007358.1","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae"
"827","NC_071074.1","Streptococcus phage P7571","Brussowvirus","Aliceevansviridae"
"828","NC_078897.1","Orthobunyavirus bakauense","Orthobunyavirus","Peribunyaviridae"
"829","NC_035190.1","Euonymus yellow vein virus","Potexvirus","Alphaflexiviridae"
"830","NC_016162.1","Vicialiavirus VCY","Vicialiavirus","Inoviridae"
"831","NC_077935.1","Orthobunyavirus achiotei","Orthobunyavirus","Peribunyaviridae"
"832","NC_028470.1","Alphafusarivirus pleosporae","Alphafusarivirus","Fusariviridae"
"833","NC_070692.1","Streptococcus phage P3684","Moineauvirus","Aliceevansviridae"
"836","NC_075325.1","Gemycircularvirus sp.","Gemycircularvirus","Genomoviridae"
"837","NC_008193.1","Irtavirus F108","Irtavirus","Peduoviridae"
"839","NC_027054.1","Aichivirus C","Kobuvirus","Picornaviridae"
"840","NC_049396.1","Kuttervirus SP1","Kuttervirus","Ackermannviridae"
"842","NC_076439.1","Porprismacovirus chicas2","Porprismacovirus","Smacoviridae"
"843","NC_001934.1","Potato yellow mosaic virus","Begomovirus","Geminiviridae"
"844","NC_032417.1","Hermit mivirus","Mivirus","Chuviridae"
"845","NC_008854.1","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae"
"847","NC_038293.1","Epsilonarterivirus hemcep","Epsilonarterivirus","Arteriviridae"
"848","NC_040534.1","Alphamesonivirus 11","Alphamesonivirus","Mesoniviridae"
"850","NC_048042.1","Webervirus TAH8","Webervirus","Drexlerviridae"
"851","NC_010984.1","Alternaria alternata virus 1","Alternavirus","Alternaviridae"
"852","NC_026769.1","Betapolyomavirus tertidobsoniae","Betapolyomavirus","Polyomaviridae"
"853","NC_075329.1","Giant panda associated gemycircularvirus","Gemycircularvirus","Genomoviridae"
"854","NC_077925.1","Orthobunyavirus ananindeuaense","Orthobunyavirus","Peribunyaviridae"
"855","NC_043402.1","Trocara virus","Alphavirus","Togaviridae"
"856","NC_055755.1","Foxborovirus NatB6","Foxborovirus","Zierdtviridae"
"858","NC_048700.1","Kaypoctavirus KP8","Kaypoctavirus","Schitoviridae"
"860","NC_040606.1","Malacosoma neustria nucleopolyhedrovirus","Alphabaculovirus","Baculoviridae"
"861","NC_027340.1","Nezavisimistyvirus Ea2809","Nezavisimistyvirus","Ackermannviridae"
"862","NC_043220.1","Alphachrysovirus fusarii","Alphachrysovirus","Chrysoviridae"
"865","NC_076798.1","Scleroulivirus thetaplasmoparae","Scleroulivirus","Botourmiaviridae"
"866","NC_040752.1","Picobirnavirus sp.","Picobirnavirus","Picobirnaviridae"
"867","NC_011202.1","Human mastadenovirus B","Mastadenovirus","Adenoviridae"
"869","NC_076287.1","Gemykrogvirus apime1","Gemykrogvirus","Genomoviridae"
"870","NC_002519.1","Siovirus americense","Siovirus","Zobellviridae"
"873","NC_017987.1","Sida yellow mosaic China virus","Begomovirus","Geminiviridae"
"874","NC_074072.1","Psehatovirus edaphadaptatum","Psehatovirus","Fiersviridae"
"877","NC_001505.2","Betapolyomavirus secumuris","Betapolyomavirus","Polyomaviridae"
"878","NC_074174.1","Wishivirus defluviicola","Wishivirus","Solspiviridae"
"879","NC_002691.1","Nodamura virus","Alphanodavirus","Nodaviridae"
"880","NC_010328.1","Malachra yellow vein mosaic virus-associated satellite DNA beta","Betasatellite","Tolecusatellitidae"
"881","NC_024625.1","Peridroma alphabaculovirus","Alphabaculovirus","Baculoviridae"
"882","NC_029122.1","Orthonairovirus japonicum","Orthonairovirus","Nairoviridae"
"883","NC_062764.1","Diorhovirus copri","Diorhovirus","Intestiviridae"
"884","NC_074325.1","Gredihovirus pedenecus","Gredihovirus","Steitzviridae"
"885","NC_004200.1","Banna virus","Seadornavirus","Sedoreoviridae"
"887","NC_078119.1","Reptilian orthoreovirus","Orthoreovirus","Spinareoviridae"
"888","NC_016996.1","Common moorhen coronavirus HKU21","Deltacoronavirus","Coronaviridae"
"889","NC_001615.3","Betanucleorhabdovirus retesonchi","Betanucleorhabdovirus","Rhabdoviridae"
"890","NC_075314.1","Gemycircularvirus lepam3","Gemycircularvirus","Genomoviridae"
"892","NC_006561.1","Circovirus duck","Circovirus","Circoviridae"
"893","NC_038640.1","Aquareovirus E","Aquareovirus","Spinareoviridae"
"894","NC_038973.1","Whitefly associated Guatemala alphasatellite 2","Clecrusatellite","Alphasatellitidae"
"896","NC_055652.1","Cilevirus passiflorae","Cilevirus","Kitaviridae"
"897","NC_027292.1","Pifdecavirus Pf10","Pifdecavirus","Autographiviridae"
"898","NC_074578.1","Frobavirus limivivens","Frobavirus","Steitzviridae"
"899","NC_022644.1","East African cassava mosaic Malawi virus","Begomovirus","Geminiviridae"
"901","NC_038821.1","Quaranjavirus quaranfilense","Quaranjavirus","Orthomyxoviridae"
"903","NC_004290.1","Scindoambidensovirus orthopteran1","Scindoambidensovirus","Parvoviridae"
"906","NC_043652.1","Orthobunyavirus biraoense","Orthobunyavirus","Peribunyaviridae"
"907","NC_036476.1","Piscine orthoreovirus","Orthoreovirus","Spinareoviridae"
"908","NC_015784.2","Badnavirus venavitis","Badnavirus","Caulimoviridae"
"909","NC_004640.1","Sweet potato leaf curl Georgia virus","Begomovirus","Geminiviridae"
"910","NC_024486.1","Duck aviadenovirus B","Aviadenovirus","Adenoviridae"
"911","NC_003743.1","Turnip yellows virus","Polerovirus","Solemoviridae"
"912","NC_043474.1","Shingleback nidovirus 1","Pregotovirus","Tobaniviridae"
"915","NC_025396.1","Ephemerovirus kimberley","Ephemerovirus","Rhabdoviridae"
"917","NC_000858.1","Primate T-lymphotropic virus 1","Deltaretrovirus","Retroviridae"
"918","NC_038341.1","Alphatorquevirus homin21","Alphatorquevirus","Anelloviridae"
"919","NC_048732.1","Yonseivirus seifer","Yonseivirus","Casjensviridae"
"920","NC_038309.1","Enterovirus H","Enterovirus","Picornaviridae"
"921","NC_008941.1","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae"
"923","NC_024773.1","Porcine associated porprismacovirus 7","Porprismacovirus","Smacoviridae"
"924","NC_052931.1","Quaranjavirus johnstonense","Quaranjavirus","Orthomyxoviridae"
"926","NC_025810.1","Pteropine orthoreovirus","Orthoreovirus","Spinareoviridae"
"927","NC_025896.1","Betapolyomavirus secuchlopygerythrus","Betapolyomavirus","Polyomaviridae"
"928","NC_055309.1","Phlebovirus riograndense","Phlebovirus","Phenuiviridae"
"930","NC_074864.1","Pepper leaf curl Lahore virus","Begomovirus","Geminiviridae"
"931","NC_055723.1","Tequatrovirus fps90","Tequatrovirus","Straboviridae"
"932","NC_007222.1","Penicillium stoloniferum virus F","Gammapartitivirus","Partitiviridae"
"933","NC_025435.1","Strawberry polerovirus 1","Polerovirus","Solemoviridae"
"935","NC_034526.1","Orthohantavirus sangassouense","Orthohantavirus","Hantaviridae"
"937","NC_017004.1","Cassava mosaic Madagascar virus","Begomovirus","Geminiviridae"
"938","NC_020101.1","Aspergillus foetidus dsRNA mycovirus","Alternavirus","Alternaviridae"
"940","NC_055880.1","Lahndsivirus rarus","Lahndsivirus","Steigviridae"
"941","NC_076815.1","Penoulivirus epsilonplasmoparae","Penoulivirus","Botourmiaviridae"
"942","NC_004303.1","Brussowvirus bvO1205","Brussowvirus","Aliceevansviridae"
"943","NC_073810.1","Lobdovirus chorovivens","Lobdovirus","Atkinsviridae"
"944","NC_008794.1","Crassocephalum yellow vein virus","Begomovirus","Geminiviridae"
"945","NC_025246.1","Circovirus catfish","Circovirus","Circoviridae"
"948","NC_029126.1","Rosellinia necatrix megabirnavirus 2-W8","Megabirnavirus","Megabirnaviridae"
"949","NC_076939.1","Vesiculovirus mediterranean","Vesiculovirus","Rhabdoviridae"
"950","NC_076961.1","Cotton leaf curl betasatellite","Betasatellite","Tolecusatellitidae"
"951","NC_078950.1","Orthobunyavirus bushbushense","Orthobunyavirus","Peribunyaviridae"
"952","NC_038415.1","Cyclovirus homa","Cyclovirus","Circoviridae"
"953","NC_004911.1","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae"
"954","NC_075562.1","Varicellovirus phocidalpha1","Varicellovirus","Orthoherpesviridae"
"955","NC_021587.1","Rotavirus G","Rotavirus","Sedoreoviridae"
"956","NC_005336.1","Orf virus","Parapoxvirus","Poxviridae"
"957","NC_033081.1","Bavaria virus","Bavovirus","Caliciviridae"
"958","NC_020103.1","Aspergillus foetidus dsRNA mycovirus","Alternavirus","Alternaviridae"
"959","NC_076343.1","Gemykibivirus haeme4","Gemykibivirus","Genomoviridae"
"960","NC_009942.1","Orthoflavivirus nilense","Orthoflavivirus","Flaviviridae"
"963","NC_001930.1","Bean dwarf mosaic virus","Begomovirus","Geminiviridae"
"964","NC_055466.1","Alphanucleorhabdovirus physostegiae","Alphanucleorhabdovirus","Rhabdoviridae"
"965","NC_028894.1","Gaprivervirus vr20","Gaprivervirus","Straboviridae"
"966","NC_003688.1","Cucurbit aphid-borne yellows virus","Polerovirus","Solemoviridae"
